celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_withdrew,is_controversial,contestants,weeks,judges,voting_method,is_allstar,active_weeks,week1_total,week1_avg,week2_total,week2_avg,week3_total,week3_avg,week4_total,week4_avg,week5_total,week5_avg,week6_total,week6_avg,week7_total,week7_avg,week8_total,week8_avg,week9_total,week9_avg,week10_total,week10_avg,week11_total,week11_avg,overall_avg_score,elimination_week,is_finalist,final_rank
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,False,False,10,8,3,rank,False,8,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,26.0,8.666666666666666,30.0,10.0,30.0,10.0,27.5,9.166666666666666,28.6665,9.5555,0.0,,0.0,,0.0,,9.173604166666667,,True,3.0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,False,True,10,8,3,rank,False,8,21.0,7.0,23.0,7.666666666666667,19.0,6.333333333333333,24.0,8.0,23.0,7.666666666666667,23.0,7.666666666666667,20.5,6.833333333333333,26.666600000000003,8.888866666666667,0.0,,0.0,,0.0,,7.506941666666667,,True,2.0
Giselle Fernandez,Jonathan Roberts,News Anchor,Non-US,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,False,False,10,8,3,rank,False,3,23.0,7.666666666666667,24.0,8.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,7.666666666666667,3.0,False,
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,False,False,10,8,3,rank,False,4,12.0,4.0,16.0,5.333333333333333,14.0,4.666666666666667,8.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,4.166666666666667,4.0,False,
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,False,False,10,8,3,rank,False,8,24.0,8.0,27.0,9.0,27.0,9.0,28.0,9.333333333333334,27.0,9.0,30.0,10.0,27.5,9.166666666666666,28.9998,9.6666,0.0,,0.0,,0.0,,9.145825,,True,1.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,False,False,10,8,3,rank,False,1,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,4.333333333333333,1.0,False,
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,3,17.0,5.666666666666667,21.0,7.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.666666666666667,3.0,False,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,4,22.0,7.333333333333333,24.0,8.0,27.0,9.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.083333333333334,4.0,False,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,8,19.0,6.333333333333333,26.0,8.666666666666666,27.0,9.0,24.0,8.0,27.0,9.0,23.0,7.666666666666667,27.0,9.0,26.5,8.833333333333334,0.0,0.0,0.0,0.0,0.0,,8.3125,8.0,False,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,9,21.0,7.0,29.0,9.666666666666666,22.0,7.333333333333333,27.0,9.0,25.0,8.333333333333334,24.0,8.0,28.5,9.5,27.0,9.0,29.5,9.833333333333334,0.0,0.0,0.0,,8.62962962962963,,True,3.0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,False,False,11,10,3,percentage,False,10,26.0,8.666666666666666,21.0,7.0,22.0,7.333333333333333,29.0,9.666666666666666,27.0,9.0,28.0,9.333333333333334,28.0,9.333333333333334,28.5,9.5,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,,8.955553333333334,,True,2.0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,False,False,11,10,3,percentage,False,10,24.0,8.0,24.0,8.0,19.0,6.333333333333333,24.0,8.0,27.0,9.0,25.0,8.333333333333334,28.5,9.5,27.0,9.0,29.5,9.833333333333334,29.666600000000003,9.888866666666667,0.0,,8.588886666666667,,True,1.0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,2,18.0,6.0,22.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.666666666666667,2.0,False,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,5,22.0,7.333333333333333,23.0,7.666666666666667,22.0,7.333333333333333,28.0,9.333333333333334,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.133333333333333,5.0,False,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,True,False,11,10,3,percentage,False,5,15.0,5.0,21.0,7.0,25.0,8.333333333333334,20.0,6.666666666666667,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,-1.0,False,
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,7,16.0,5.333333333333333,19.0,6.333333333333333,21.0,7.0,22.0,7.333333333333333,24.0,8.0,18.0,6.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.809523809523809,7.0,False,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,1,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,False,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,7,17.0,5.666666666666667,21.0,7.0,20.0,6.666666666666667,16.0,5.333333333333333,18.0,6.0,19.0,6.333333333333333,22.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.357142857142857,7.0,False,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,9,21.0,7.0,22.0,7.333333333333333,24.0,8.0,24.0,8.0,24.0,8.0,24.0,8.0,27.0,9.0,23.5,7.833333333333333,29.0,9.666666666666666,0.0,0.0,0.0,,8.092592592592593,9.0,False,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,5,16.0,5.333333333333333,18.0,6.0,16.0,5.333333333333333,15.0,5.0,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.2,5.0,False,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,False,False,11,10,3,percentage,False,10,23.0,7.666666666666667,27.0,9.0,21.0,7.0,21.0,7.0,28.0,9.333333333333334,28.0,9.333333333333334,29.5,9.833333333333334,26.5,8.833333333333334,30.0,10.0,28.333200000000005,9.444400000000002,0.0,,8.744439999999999,,True,3.0
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,False,False,11,10,3,percentage,False,10,21.0,7.0,26.0,8.666666666666666,23.0,7.666666666666667,26.0,8.666666666666666,30.0,10.0,28.0,9.333333333333334,27.0,9.0,29.0,9.666666666666666,29.5,9.833333333333334,29.3332,9.777733333333334,0.0,,8.961106666666666,,True,1.0
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,3,19.0,6.333333333333333,20.0,6.666666666666667,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.666666666666667,3.0,False,
Paulina Porizkova,Alec Mazo,Model,Non-US,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,2,19.0,6.333333333333333,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.666666666666667,2.0,False,
Heather Mills,Jonathan Roberts,Model,Non-US,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,6,18.0,6.0,24.0,8.0,24.0,8.0,23.0,7.666666666666667,21.0,7.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.388888888888889,6.0,False,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,True,11,10,3,percentage,False,8,13.0,4.333333333333333,21.0,7.0,21.0,7.0,21.0,7.0,17.0,5.666666666666667,21.0,7.0,19.0,6.333333333333333,19.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,,6.333333333333333,8.0,False,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,False,False,11,10,3,percentage,False,10,24.0,8.0,24.0,8.0,24.0,8.0,28.0,9.333333333333334,25.0,8.333333333333334,27.0,9.0,29.5,9.833333333333334,27.5,9.166666666666666,30.0,10.0,28.6665,9.5555,0.0,,8.922216666666666,,True,2.0
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,11,10,3,percentage,False,4,15.0,5.0,21.0,7.0,24.0,8.0,16.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.333333333333333,4.0,False,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,Non-US,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,3,percentage,False,8,21.0,7.0,21.0,7.0,23.0,7.666666666666667,27.0,9.0,26.0,8.666666666666666,25.0,8.333333333333334,25.5,8.5,25.5,8.5,0.0,0.0,0.0,0.0,0.0,,8.083333333333334,8.0,False,
Jane Seymour,Tony Dovolani,Actor/Actress,Non-US,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,3,percentage,False,7,24.0,8.0,21.0,7.0,27.0,9.0,26.0,8.666666666666666,26.0,8.666666666666666,22.0,7.333333333333333,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.142857142857142,7.0,False,
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,3,percentage,False,6,26.0,8.666666666666666,26.0,8.666666666666666,27.0,9.0,30.0,10.0,28.0,9.333333333333334,25.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,6.0,False,
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,10.0,9.0,,8.0,9.0,8.0,,9.0,9.0,9.0,,8.5,8.5,9.5,,8.5,8.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,False,False,12,10,3,percentage,False,9,21.0,7.0,21.0,7.0,26.0,8.666666666666666,27.0,9.0,25.0,8.333333333333334,27.0,9.0,26.5,8.833333333333334,25.0,8.333333333333334,29.0,9.666666666666666,0.0,0.0,0.0,,8.425925925925926,9.0,False,
