season,week,eliminated_count,eliminated_names
10,2,1,Shannen Doherty
10,3,1,Buzz Aldrin
10,4,1,Aiden Turner
10,5,1,Kate Gosselin
10,6,1,Jake Pavelka
10,7,1,Pamela Anderson
10,8,1,Niecy Nash
10,9,1,Chad Ochocinco
10,10,0,
10,11,0,
11,1,1,David Hasselhoff
11,2,1,Michael Bolton
11,3,1,Margaret Cho
11,4,1,The Situation
11,5,1,Florence Henderson
11,6,1,Audrina Patridge
11,7,1,Rick Fox
11,8,1,Kurt Warner
11,9,1,Brandy
11,10,0,
11,11,0,
12,1,0,
12,2,1,Mike Catherwood
12,3,1,Wendy Williams
12,4,1,Sugar Ray Leonard
12,5,1,Petra Nemcova
12,6,1,Chris Jericho
12,7,1,Kendra Wilkinson
12,8,1,Romeo
12,9,1,Ralph Macchio
12,10,0,
12,11,0,
13,1,1,Metta World Peace (Ron)
13,2,1,Elisabetta Canalis
13,3,1,Kristin Cavallari
13,4,1,Chynna Phillips
13,5,1,Carson Kressley
13,6,1,Chaz Bono
13,7,1,David Arquette
13,8,1,Nancy Grace
13,9,1,Hope Solo
13,10,0,
13,11,0,
14,1,0,
14,2,1,Martina Navratilova
14,3,1,Jack Wagner
14,4,1,Sherri Sheperd
14,5,1,Gavin DeGraw
14,6,1,Gladys Knight
14,7,1,Jaleel White
14,8,2,"Roshon Fegan, Melissa Gilbert"
14,9,1,Maria Menounos
14,10,0,
14,11,0,
15,1,1,Pamela Anderson
15,2,1,Joey Fatone
15,3,2,"Helio Castroneves, Drew Lachey"
15,4,1,Bristol Palin
15,5,0,
15,6,1,Sabrina Bryan
15,7,0,
15,8,2,"Gilles Marini, Kirstie Alley"
15,9,2,"Apolo Anton Ohno, Emmitt Smith"
15,10,0,
15,11,0,
16,1,1,Alexandra Raisman
16,2,0,
16,3,1,Wynonna Judd
16,4,1,Lisa Vanderpump
16,5,1,D. L. Hughley
16,6,1,Victor Ortiz
16,7,1,Andy Dick
16,8,1,Sean Lowe
16,9,1,Ingo Rademacher
16,10,1,Alexandra Raisman
16,11,0,
17,1,2,"Leah Remini, Bill Engvall"
17,2,1,Keyshawn Johnson
17,3,1,Bill Nye
17,4,1,Valerie Harper
17,5,1,Christina Milian
17,6,0,
17,7,1,"Nicole ""Snooki"" Polizzi"
17,8,1,Brant Daugherty
17,9,1,Elizabeth Berkley Lauren
17,10,1,Leah Remini
17,11,1,Bill Engvall
18,1,1,James Maslow
18,2,2,"Sean Avery, Diana Nyad"
18,3,0,
18,4,0,
18,5,1,Cody Simpson
18,6,1,Drew Carey
18,7,1,NeNe Leakes
18,8,1,Danica McKellar
18,9,1,Charlie White
18,10,1,James Maslow
18,11,0,
19,1,3,"Lolo Jones, Tommy Chong, Bethany Mota"
19,2,1,Tavis Smiley
19,3,1,Randy Couture
19,4,1,Betsey Johnson
19,5,0,
19,6,1,Jonathan Bennett
19,7,1,Antonio Sabato Jr.
19,8,1,Michael Waltrip
19,9,1,Lea Thompson
19,10,1,Tommy Chong
19,11,1,Bethany Mota
20,1,0,
20,2,1,Redfoo
20,3,1,Charlotte McKinney
20,4,1,Michael Sam
20,5,1,Suzanne Somers
20,6,1,Patti LaBelle
20,7,1,Willow Shields
20,8,2,"Robert Herjavec, Chris Soules"
20,9,1,Nastia Liukin
20,10,0,
20,11,0,
21,1,1,Carlos PenaVega
21,2,2,"Victor Espinoza, Chaka Khan"
21,3,0,
21,4,1,Gary Busey
21,5,0,
21,6,1,Paula Deen
21,7,1,Hayes Grier
21,8,1,Andy Grammer
21,9,1,Alexa PenaVega
21,10,0,
21,11,1,Carlos PenaVega
22,1,0,
22,2,1,Geraldo Rivera
22,3,1,Mischa Barton
22,4,1,Marla Maples
22,5,0,
22,6,1,Doug Flutie
22,7,2,"Kim Fields, Von Miller"
22,8,1,Jodie Sweetin
22,9,2,"Antonio Brown, Wanya Morris"
22,10,0,
22,11,0,
23,1,2,"Jana Kramer, Terra Jole"
23,2,1,Jake T. Austin
23,3,1,Rick Perry
23,4,2,"Babyface, Vanilla Ice"
23,5,0,
23,6,1,Amber Rose
23,7,1,Maureen McCormick
23,8,1,Ryan Lochte
23,9,1,Marilu Henner
23,10,1,Terra Jole
23,11,1,Jana Kramer
24,1,0,
24,2,1,Chris Kattan
24,3,1,Charo
24,4,1,Mr. T
24,5,1,Erika Jayne
24,6,1,Heather Morris
24,7,2,"Nancy Kerrigan, Nick Viall"
24,8,1,Bonner Bolton
24,9,1,Simone Biles
24,10,0,
24,11,0,
25,1,1,Drew Scott
25,2,2,"Barbara Corcoran, Debbie Gibson"
25,3,0,
25,4,1,Derek Fisher
25,5,1,Sasha Pieterse
25,6,1,Nick Lachey
25,7,2,"Nikki Bella, Vanessa Lachey"
25,8,1,Terrell Owens
25,9,1,Victoria Arlen
25,10,1,Drew Scott
25,11,0,
26,1,2,"Jamie Anderson, Johnny Damon"
26,2,2,"Kareem Abdul-Jabbar, Arike Ogunbowale"
26,3,3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu"
26,4,0,
26,5,0,
26,6,0,
26,7,0,
26,8,0,
26,9,0,
26,10,0,
26,11,0,
27,1,1,Nikki Glaser
27,2,1,Danelle Umstead
27,3,1,Nancy McKeon
27,4,1,Tinashe
27,5,0,
27,6,1,Mary Lou Retton
27,7,2,"John Schneider, DeMarcus Ware"
27,8,2,"Juan Pablo Di Pace, Joe Amabile"
27,9,0,
27,10,0,
27,11,0,
28,1,1,James Van Der Beek
28,2,1,Mary Wilson
28,3,0,
28,4,1,Lamar Odom
28,5,0,
28,6,1,Sailor Brinkley-Cook
28,7,1,Karamo Brown
28,8,1,Kate Flannery
28,9,1,Sean Spicer
28,10,1,James Van Der Beek
28,11,0,
29,1,2,"Skai Jackson, Johnny Weir"
29,2,1,Charles Oakley
29,3,1,Carole Baskin
29,4,1,Anne Heche
29,5,1,Jesse Metcalfe
29,6,1,Veron Davis
29,7,1,Monica Aldama
29,8,1,Chrishell Stause
29,9,1,AJ McLean
29,10,2,"Skai Jackson, Johnny Weir"
29,11,0,
30,1,0,
30,2,1,Martin Kove
30,3,1,Christine Chiu
30,4,2,"Brian Austin Green, Matt James"
30,5,1,Melanie C
30,6,1,Kenya Moore
30,7,1,"Mike ""The Miz"" Mizanin"
30,8,2,"Jimmie Allen, Olivia Jade"
30,9,2,"Melora Hardin, Suni Lee"
30,10,0,
30,11,0,
31,1,1,Jason Lewis
31,2,1,Teresa Giudice
31,3,1,Cheryl Ladd
31,4,1,Sam Champion
31,5,1,Joseph Baena
31,6,1,Jessie James Decker
31,7,1,Jordin Sparks
31,8,2,"Heidi D'Amelio, Vinny Guadagnino"
31,9,2,"Trevor Donovan, Daniel Durant"
31,10,0,
31,11,0,
32,1,1,Matt Walsh
32,2,1,Jamie Lynn Spears
32,3,1,Tyson Beckford
32,4,1,Adrian Peterson
32,5,1,Mira Sorvino
32,6,1,Mauricio Umansky
32,7,1,Lele Pons
32,8,1,Barry Williams
32,9,1,Harry Jowsey
32,10,0,
32,11,0,
33,1,0,
33,2,2,"Tori Spelling, Anna Delvey"
33,3,2,"Eric Roberts, Reginald VelJohnson"
33,4,1,Brooks Nader
33,5,1,Phaedra Parks
33,6,1,Jenn Tran
33,7,1,Dwight Howard 
33,8,0,
33,9,0,
33,10,0,
33,11,0,
34,1,1,Whitney Leavitt
34,2,2,"Corey Feldman, Baron Davis"
34,3,1,Lauren Jauregui
34,4,1,Hilaria Baldwin
34,5,0,
34,6,1,Scott Hoying
34,7,1,Jen Affleck
34,8,1,Danielle Fishel
34,9,1,Andy Richter
34,10,1,Whitney Leavitt
34,11,0,
