celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,judge_scores,total_score,avg_score,min_score,max_score,num_judges,score_std,judge_rank,contestants_this_week,judge_score_pct,is_last_week,is_eliminated,judge_rank_pct,score_vs_week_avg,score_vs_week_max,cumulative_avg_score,actual_voting_method,is_controversial
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,3,"[9.0, 8.0, 7.0]",24.0,8.0,7.0,9.0,3,0.816496580927726,2.0,5,22.641509433962266,False,False,0.4,2.8000000000000007,2.0,23.0,rank,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,4,"[7.0, 8.0, 6.0]",21.0,7.0,6.0,8.0,3,0.816496580927726,3.0,4,22.82608695652174,False,False,0.75,-2.0,5.0,23.333333333333332,rank,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,5,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,1.0,3,36.986301369863014,False,False,0.3333333333333333,2.666666666666668,0.0,22.75,rank,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,6,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,2.0,2,49.54128440366973,True,False,1.0,-0.25,0.5,23.6,rank,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,1,"[5.0, 4.0, 4.0]",13.0,4.333333333333333,4.0,5.0,3,0.4714045207910317,6.0,6,11.926605504587156,False,False,1.0,-5.166666666666668,7.0,,rank,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,2,"[5.0, 6.0, 6.0]",17.0,5.666666666666667,5.0,6.0,3,0.4714045207910317,5.0,6,14.049586776859504,False,False,0.8333333333333334,-3.166666666666668,9.0,13.0,rank,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,3,"[6.0, 7.0, 8.0]",21.0,7.0,6.0,8.0,3,0.816496580927726,4.0,5,19.81132075471698,False,False,0.8,-0.1999999999999993,5.0,15.0,rank,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,4,"[9.0, 9.0, 8.0]",26.0,8.666666666666666,8.0,9.0,3,0.4714045207910317,1.0,4,28.26086956521739,False,False,0.25,3.0,0.0,17.0,rank,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5,"[8.5, 7.5, 7.5]",23.5,7.833333333333333,7.5,8.5,3,0.4714045207910317,2.0,3,32.19178082191781,False,False,0.6666666666666666,-0.8333333333333321,3.5,19.25,rank,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,6,"[8.5, 9.5, 9.5]",27.5,9.166666666666666,8.5,9.5,3,0.4714045207910317,1.0,2,50.45871559633027,True,False,0.5,0.25,0.0,20.1,rank,False
Rachel Hunter,Jonathan Roberts,Model,Non-US,New Zealand,35,1,Eliminated Week 4,4,1,"[7.0, 6.0, 7.0]",20.0,6.666666666666667,6.0,7.0,3,0.4714045207910317,1.0,6,18.34862385321101,False,False,0.16666666666666666,1.8333333333333321,0.0,,rank,False
Rachel Hunter,Jonathan Roberts,Model,Non-US,New Zealand,35,1,Eliminated Week 4,4,2,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,2.0,6,19.834710743801654,False,False,0.3333333333333333,3.833333333333332,2.0,20.0,rank,False
Rachel Hunter,Jonathan Roberts,Model,Non-US,New Zealand,35,1,Eliminated Week 4,4,3,"[8.0, 9.0, 9.0]",26.0,8.666666666666666,8.0,9.0,3,0.4714045207910317,1.0,5,24.528301886792452,False,False,0.2,4.800000000000001,0.0,22.0,rank,False
Rachel Hunter,Jonathan Roberts,Model,Non-US,New Zealand,35,1,Eliminated Week 4,4,4,"[7.0, 9.0, 9.0]",25.0,8.333333333333334,7.0,9.0,3,0.9428090415820634,2.0,4,27.173913043478258,True,True,0.5,2.0,1.0,23.333333333333332,rank,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,1,"[6.0, 6.0, 6.0]",18.0,6.0,6.0,6.0,3,0.0,4.0,6,16.51376146788991,False,False,0.6666666666666666,-0.16666666666666785,2.0,,rank,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,2,"[6.0, 7.0, 6.0]",19.0,6.333333333333333,6.0,7.0,3,0.4714045207910317,4.0,6,15.702479338842975,True,True,0.6666666666666666,-1.1666666666666679,7.0,18.0,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,1,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,1.0,10,12.307692307692308,False,False,0.1,4.5,0.0,,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,2,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,2.0,9,13.5,False,False,0.2222222222222222,4.777777777777779,2.0,24.0,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,3,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,1.0,8,14.835164835164836,False,False,0.125,4.25,0.0,25.5,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,4,"[9.0, 9.0, 10.0]",28.0,9.333333333333334,9.0,10.0,3,0.4714045207910317,1.0,7,17.72151898734177,False,False,0.14285714285714285,5.428571428571427,0.0,26.0,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,5,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,2.0,6,17.880794701986755,False,False,0.3333333333333333,1.8333333333333321,3.0,26.5,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,6,"[10.0, 10.0, 10.0]",30.0,10.0,10.0,10.0,3,0.0,1.0,5,22.55639097744361,False,False,0.2,3.3999999999999986,0.0,26.6,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,7,"[9.5, 9.0, 9.0]",27.5,9.166666666666666,9.0,9.5,3,0.23570226039551584,1.0,4,26.96078431372549,False,False,0.25,2.0,0.0,27.166666666666668,rank,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,"[9.6666, 9.6666, 9.6666]",28.9998,9.6666,9.6666,9.6666,3,0.0,1.0,3,34.38729131809769,True,False,0.3333333333333333,0.8888333333333343,0.0,27.214285714285715,rank,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,1,"[7.0, 5.0, 6.0]",18.0,6.0,5.0,7.0,3,0.816496580927726,8.0,10,9.230769230769232,False,False,0.8,-1.5,6.0,,rank,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,2,"[8.0, 7.0, 7.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,5.0,9,11.0,False,False,0.5555555555555556,-0.22222222222222143,7.0,18.0,rank,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,3,"[7.0, 7.0, 8.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,5.0,8,12.087912087912088,False,False,0.625,-0.75,5.0,20.0,rank,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,4,"[7.0, 7.0, 7.0]",21.0,7.0,7.0,7.0,3,0.0,6.0,7,13.291139240506327,False,False,0.8571428571428571,-1.571428571428573,7.0,20.666666666666668,rank,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,5,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,4.0,6,15.894039735099339,False,False,0.6666666666666666,-1.1666666666666679,6.0,20.75,rank,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,"[8.0, 7.0, 8.0]",23.0,7.666666666666667,7.0,8.0,3,0.4714045207910317,4.0,5,17.293233082706767,True,True,0.8,-3.6000000000000014,7.0,21.4,rank,False
Giselle Fernandez,Jonathan Roberts,News Anchor,Non-US,Mexico,44,2,Eliminated Week 3,8,1,"[7.0, 8.0, 8.0]",23.0,7.666666666666667,7.0,8.0,3,0.4714045207910317,2.0,10,11.794871794871794,False,False,0.2,3.5,1.0,,rank,False
Giselle Fernandez,Jonathan Roberts,News Anchor,Non-US,Mexico,44,2,Eliminated Week 3,8,2,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,3.0,9,12.0,False,False,0.3333333333333333,1.7777777777777786,5.0,23.0,rank,False
Giselle Fernandez,Jonathan Roberts,News Anchor,Non-US,Mexico,44,2,Eliminated Week 3,8,3,"[7.0, 8.0, 7.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,5.0,8,12.087912087912088,True,True,0.625,-0.75,5.0,23.5,rank,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,1,"[7.0, 7.0, 7.0]",21.0,7.0,7.0,7.0,3,0.0,5.0,10,10.76923076923077,False,False,0.5,1.5,3.0,,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,2,"[7.0, 8.0, 8.0]",23.0,7.666666666666667,7.0,8.0,3,0.4714045207910317,4.0,9,11.5,False,False,0.4444444444444444,0.7777777777777786,6.0,21.0,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,3,"[7.0, 6.0, 6.0]",19.0,6.333333333333333,6.0,7.0,3,0.4714045207910317,7.0,8,10.43956043956044,False,False,0.875,-3.75,8.0,22.0,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,4,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,5.0,7,15.18987341772152,False,False,0.7142857142857143,1.428571428571427,4.0,21.0,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,5,"[7.0, 8.0, 8.0]",23.0,7.666666666666667,7.0,8.0,3,0.4714045207910317,5.0,6,15.2317880794702,False,False,0.8333333333333334,-2.166666666666668,7.0,21.75,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,6,"[8.0, 7.0, 8.0]",23.0,7.666666666666667,7.0,8.0,3,0.4714045207910317,4.0,5,17.293233082706767,False,False,0.8,-3.6000000000000014,7.0,22.0,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,"[7.0, 7.0, 6.5]",20.5,6.833333333333333,6.5,7.0,3,0.23570226039551584,4.0,4,20.098039215686274,False,False,1.0,-5.0,7.0,22.166666666666668,rank,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,8,"[9.0, 9.0, 8.6666]",26.666600000000003,8.888866666666667,8.6666,9.0,3,0.1571662672317296,3.0,3,31.620636785880723,True,False,1.0,-1.4443666666666637,2.333199999999998,21.928571428571427,rank,True
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,1,"[4.0, 5.0, 4.0]",13.0,4.333333333333333,4.0,5.0,3,0.4714045207910317,9.0,10,6.666666666666667,True,True,0.9,-6.5,11.0,,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,1,"[5.0, 7.0, 7.0]",19.0,6.333333333333333,5.0,7.0,3,0.9428090415820634,7.0,10,9.743589743589745,False,False,0.7,-0.5,5.0,,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,2,"[6.0, 7.0, 7.0]",20.0,6.666666666666667,6.0,7.0,3,0.4714045207910317,7.0,9,10.0,False,False,0.7777777777777778,-2.2222222222222214,9.0,19.0,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,3,"[8.0, 8.0, 9.0]",25.0,8.333333333333334,8.0,9.0,3,0.4714045207910317,4.0,8,13.736263736263737,False,False,0.5,2.25,2.0,19.5,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,4,"[9.0, 9.0, 8.0]",26.0,8.666666666666666,8.0,9.0,3,0.4714045207910317,2.0,7,16.455696202531644,False,False,0.2857142857142857,3.428571428571427,2.0,21.333333333333332,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,"[7.0, 9.0, 9.0]",25.0,8.333333333333334,7.0,9.0,3,0.9428090415820634,3.0,6,16.55629139072848,False,False,0.5,-0.16666666666666785,5.0,22.5,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,6,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,3.0,5,20.30075187969925,False,False,0.6,0.3999999999999986,3.0,23.0,rank,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,"[8.5, 9.0, 9.0]",26.5,8.833333333333334,8.5,9.0,3,0.23570226039551584,3.0,4,25.98039215686275,True,True,0.75,1.0,1.0,23.666666666666668,rank,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,1,"[4.0, 4.0, 4.0]",12.0,4.0,4.0,4.0,3,0.0,10.0,10,6.153846153846154,False,False,1.0,-7.5,12.0,,rank,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,2,"[6.0, 5.0, 5.0]",16.0,5.333333333333333,5.0,6.0,3,0.4714045207910317,9.0,9,8.0,False,False,1.0,-6.222222222222221,13.0,12.0,rank,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,3,"[6.0, 4.0, 4.0]",14.0,4.666666666666667,4.0,6.0,3,0.9428090415820634,8.0,8,7.6923076923076925,False,False,1.0,-8.75,13.0,14.0,rank,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,"[4.0, 2.0, 2.0]",8.0,2.6666666666666665,2.0,4.0,3,0.9428090415820634,7.0,7,5.063291139240507,True,True,1.0,-14.571428571428573,20.0,14.0,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,1,"[8.0, 6.0, 8.0]",22.0,7.333333333333333,6.0,8.0,3,0.9428090415820634,4.0,10,11.282051282051283,False,False,0.4,2.5,2.0,,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,2,"[9.0, 10.0, 10.0]",29.0,9.666666666666666,9.0,10.0,3,0.4714045207910317,1.0,9,14.499999999999998,False,False,0.1111111111111111,6.777777777777779,0.0,22.0,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,3,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,1.0,8,14.835164835164836,False,False,0.125,4.25,0.0,25.5,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,4,"[8.0, 9.0, 9.0]",26.0,8.666666666666666,8.0,9.0,3,0.4714045207910317,2.0,7,16.455696202531644,False,False,0.2857142857142857,3.428571428571427,2.0,26.0,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,5,"[10.0, 10.0, 10.0]",30.0,10.0,10.0,10.0,3,0.0,1.0,6,19.867549668874172,False,False,0.16666666666666666,4.833333333333332,0.0,26.0,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,6,"[10.0, 10.0, 10.0]",30.0,10.0,10.0,10.0,3,0.0,1.0,5,22.55639097744361,False,False,0.2,3.3999999999999986,0.0,26.8,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,7,"[9.0, 9.0, 9.5]",27.5,9.166666666666666,9.0,9.5,3,0.23570226039551584,1.0,4,26.96078431372549,False,False,0.25,2.0,0.0,27.333333333333332,rank,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,"[9.3333, 9.6666, 9.6666]",28.6665,9.5555,9.3333,9.6666,3,0.15711912677965145,2.0,3,33.9920718960216,True,False,0.6666666666666666,0.555533333333333,0.33330000000000126,27.357142857142858,rank,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,1,"[7.0, 8.0, 8.0]",23.0,7.666666666666667,7.0,8.0,3,0.4714045207910317,2.0,10,11.794871794871794,False,False,0.2,3.5,1.0,,rank,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2,"[5.0, 6.0, 6.0]",17.0,5.666666666666667,5.0,6.0,3,0.4714045207910317,8.0,9,8.5,True,True,0.8888888888888888,-5.222222222222221,12.0,23.0,rank,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,1,"[6.0, 7.0, 7.0]",20.0,6.666666666666667,6.0,7.0,3,0.4714045207910317,6.0,10,10.256410256410255,False,False,0.6,0.5,4.0,,rank,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,2,"[7.0, 8.0, 7.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,5.0,9,11.0,False,False,0.5555555555555556,-0.22222222222222143,7.0,20.0,rank,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,3,"[9.0, 8.0, 9.0]",26.0,8.666666666666666,8.0,9.0,3,0.4714045207910317,3.0,8,14.285714285714285,False,False,0.375,3.25,1.0,21.0,rank,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,4,"[9.0, 8.0, 8.0]",25.0,8.333333333333334,8.0,9.0,3,0.4714045207910317,4.0,7,15.822784810126583,False,False,0.5714285714285714,2.428571428571427,3.0,22.666666666666668,rank,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,"[7.0, 7.0, 8.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,6.0,6,14.56953642384106,True,True,1.0,-3.166666666666668,8.0,23.25,rank,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,1,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,2.0,11,11.320754716981133,False,False,0.18181818181818182,4.727272727272727,2.0,,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,2,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,3.0,10,10.434782608695652,False,False,0.3,1.0,5.0,24.0,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,3,"[7.0, 6.0, 6.0]",19.0,6.333333333333333,6.0,7.0,3,0.4714045207910317,9.0,9,9.178743961352657,False,False,1.0,-4.0,8.0,24.0,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,4,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,4.0,8,12.121212121212121,False,False,0.5,-0.75,5.0,22.333333333333332,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,5,"[9.0, 9.0, 9.0]",27.0,9.0,9.0,9.0,3,0.0,1.0,7,14.917127071823206,False,False,0.14285714285714285,1.1428571428571423,0.0,22.75,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,6,"[8.0, 8.0, 9.0]",25.0,8.333333333333334,8.0,9.0,3,0.4714045207910317,2.0,5,21.1864406779661,False,False,0.4,1.3999999999999986,3.0,23.6,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,7,"[10.0, 9.5, 9.0]",28.5,9.5,9.0,10.0,3,0.408248290463863,1.0,5,21.11111111111111,False,False,0.2,1.5,0.0,23.833333333333332,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,"[8.5, 9.0, 9.5]",27.0,9.0,8.5,9.5,3,0.408248290463863,2.0,4,24.770642201834864,False,False,0.5,-0.25,1.5,24.5,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,9,"[9.5, 10.0, 10.0]",29.5,9.833333333333334,9.5,10.0,3,0.23570226039551584,1.0,3,33.33333333333333,False,False,0.3333333333333333,0.0,0.0,24.8125,percentage,False
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,10,"[10.0, 9.6666, 10.0]",29.666600000000003,9.888866666666667,9.6666,10.0,3,0.1571662672317296,1.0,2,50.0,True,False,0.5,0.0,0.0,25.333333333333332,percentage,False
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,1,"[5.0, 6.0, 6.0]",17.0,5.666666666666667,5.0,6.0,3,0.4714045207910317,8.0,11,8.018867924528301,False,False,0.7272727272727273,-2.2727272727272734,9.0,,percentage,False
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,2,"[7.0, 7.0, 7.0]",21.0,7.0,7.0,7.0,3,0.0,7.0,10,9.130434782608695,False,False,0.7,-2.0,8.0,17.0,percentage,False
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,3,"[7.0, 8.0, 7.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,4.0,9,10.628019323671497,True,True,0.4444444444444444,-1.0,5.0,19.0,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,1,"[5.0, 5.0, 6.0]",16.0,5.333333333333333,5.0,6.0,3,0.4714045207910317,9.0,11,7.547169811320755,False,False,0.8181818181818182,-3.2727272727272734,10.0,,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,2,"[7.0, 6.0, 6.0]",19.0,6.333333333333333,6.0,7.0,3,0.4714045207910317,10.0,10,8.26086956521739,False,False,1.0,-4.0,10.0,16.0,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,3,"[7.0, 7.0, 7.0]",21.0,7.0,7.0,7.0,3,0.0,8.0,9,10.144927536231885,False,False,0.8888888888888888,-2.0,6.0,17.5,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,4,"[7.0, 7.0, 8.0]",22.0,7.333333333333333,7.0,8.0,3,0.4714045207910317,7.0,8,11.11111111111111,False,False,0.875,-2.75,7.0,18.666666666666668,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,5,"[8.0, 8.0, 8.0]",24.0,8.0,8.0,8.0,3,0.0,6.0,7,13.259668508287293,False,False,0.8571428571428571,-1.8571428571428577,3.0,19.5,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,6,"[7.0, 6.0, 5.0]",18.0,6.0,5.0,7.0,3,0.816496580927726,5.0,5,15.254237288135593,False,False,1.0,-5.600000000000001,10.0,20.4,percentage,False
Jerry Springer,Kym Johnson,TV Personality,Non-US,England,62,3,Eliminated Week 7,5,7,"[7.5, 8.0, 7.5]",23.0,7.666666666666667,7.5,8.0,3,0.23570226039551584,5.0,5,17.037037037037038,True,True,1.0,-4.0,5.5,20.0,percentage,False
