season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age,placement,results,last_week,weeks_competed,total_score_sum,total_score_mean,total_score_std,avg_judge_score,avg_weekly_rank,season_contestants,wins,top3_finishes,pro_avg_placement,pro_avg_score,career_span,total_pageviews,avg_daily_pageviews,num_weeks,year,age_group,is_us,pro_experience_level
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3,3rd Place,10,10,243.5,24.35,3.009706519468855,8.116666666666667,3.1,13,0,2,6.17,6.83,7,,,10,2008,25-35,True,Experienced
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,5,Eliminated Week 8,8,8,179.5,22.4375,2.94518371971209,7.479166666666667,5.125,13,2,8,5.8,7.65,30,,,10,2008,25-35,True,Veteran
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,10,Withdrew,2,2,42.0,21.0,0.0,7.0,4.5,13,1,5,6.0,7.91,24,,,10,2008,25-35,True,Veteran
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,9,Eliminated Week 4,4,4,71.5,17.875,1.6520189667999179,5.958333333333333,9.5,13,1,4,6.72,7.3,20,,,10,2008,35-45,True,Veteran
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,6,Eliminated Week 7,7,7,153.5,21.928571428571427,1.966989481173607,7.30952380952381,4.857142857142857,13,1,3,7.67,7.13,21,,,10,2008,55+,True,Veteran
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,12,Eliminated Week 1,1,1,18.5,18.5,,6.166666666666667,8.0,13,0,0,12.0,6.17,1,,,10,2008,45-55,True,New
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,8,Eliminated Week 5,5,5,111.5,22.3,0.44721359549995804,7.433333333333333,3.8,13,1,1,8.4,6.91,9,,,10,2008,35-45,True,Experienced
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2,2nd Place,10,10,242.5,24.25,2.188987589427283,8.083333333333332,3.0,13,2,4,6.29,7.4,18,,,10,2008,25-35,True,Veteran
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,13,Eliminated Week 2,2,2,35.0,17.5,0.7071067811865476,5.833333333333334,9.0,13,0,1,8.71,6.89,9,,,11,2009,45-55,True,Experienced
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,6,Eliminated Week 8,8,8,183.5,22.9375,2.4266010914740095,7.645833333333334,5.125,13,2,2,4.2,7.85,5,,,11,2009,25-35,True,Experienced
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,9,Eliminated Week 5,5,5,104.0,20.8,2.7748873851023212,6.933333333333333,6.8,13,2,4,6.29,7.4,18,,,11,2009,45-55,True,Veteran
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,12,Eliminated Week 3,3,3,55.0,18.333333333333332,2.5166114784235827,6.111111111111111,7.333333333333333,13,1,5,6.0,7.91,24,,,11,2009,35-45,True,Veteran
8,Gilles Marini,Cheryl Burke,Actor/Actress,Non-US,France,33,2,2nd Place,11,11,304.5,27.681818181818183,1.7926618096106033,9.227272727272727,1.6363636363636365,13,2,8,5.8,7.65,30,,,11,2009,25-35,False,Veteran
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,11,Eliminated Week 4,4,4,69.0,17.25,0.9574271077563385,5.75,8.5,13,0,1,7.0,7.43,5,,,11,2009,25-35,True,Experienced
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,7,Eliminated Week 7,7,7,138.0,19.714285714285715,1.8898223650461359,6.571428571428571,7.714285714285714,13,0,2,7.55,6.47,22,,,11,2009,45-55,True,Veteran
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,5,Eliminated Week 9,9,9,230.0,25.555555555555557,2.2973414586817036,8.518518518518519,3.111111111111111,13,6,9,2.94,8.88,19,,,11,2009,25-35,True,Veteran
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3,3rd Place,11,11,293.5,26.681818181818183,2.2053653583105826,8.893939393939393,2.4545454545454546,13,1,3,7.67,7.13,21,,,11,2009,25-35,True,Veteran
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1,1st Place,11,11,291.0,26.454545454545453,2.018099916438051,8.818181818181818,2.272727272727273,13,3,10,5.19,8.31,30,,,11,2009,<25,True,Veteran
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,10,Eliminated Week 4,4,4,52.0,13.0,2.9439202887759492,4.333333333333333,11.75,13,1,4,6.72,7.3,20,,,11,2009,55+,True,Veteran
8,Steve-O,Lacey Schwimmer,TV Personality,Non-US,England,34,8,Eliminated Week 6,6,6,95.0,15.833333333333334,1.4719601443879742,5.277777777777778,10.0,13,0,2,6.17,6.83,7,,,11,2009,25-35,False,Experienced
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,4,Eliminated Week 10,10,10,218.0,21.8,3.6453928305312844,7.2666666666666675,6.0,13,0,0,7.29,7.2,8,,,11,2009,35-45,True,Experienced
9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,5,Eliminated Week 8,8,8,206.4997,25.8124625,5.070427391661095,8.604154166666667,3.5,16,1,4,6.72,7.3,20,,,10,2009,<25,True,Veteran
9,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,16,Eliminated Week 1,1,1,18.9999,18.9999,,6.3333,15.0,16,0,2,7.55,6.47,22,,,10,2009,25-35,True,Veteran
9,Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,11,Eliminated Week 4,4,4,75.0,18.75,2.362907813126304,6.25,9.5,16,0,2,8.18,6.95,20,,,10,2009,35-45,True,Veteran
9,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,12,Eliminated Week 3,3,3,60.0,20.0,2.6457513110645907,6.666666666666667,8.0,16,1,5,6.0,7.91,24,,,10,2009,35-45,True,Veteran
9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1,1st Place,10,10,264.6662,26.46662,3.1552005285102096,8.822206666666666,3.4,16,2,4,6.29,7.4,18,,,10,2009,45-55,True,Veteran
9,Joanna Krupa,Derek Hough,Model,Non-US,Poland,30,4,Eliminated Week 9,9,9,243.4998,27.055533333333333,5.077142952241939,9.018511111111112,2.6666666666666665,16,6,9,2.94,8.88,19,,,10,2009,25-35,False,Veteran
9,Kathy Ireland,Tony Dovolani,Model,California,United States,46,14,Eliminated Week 2,2,2,37.9999,18.99995,1.4141428516949752,6.333316666666667,12.5,16,1,3,7.67,7.13,21,,,10,2009,45-55,True,Veteran
9,Kelly Osbourne,Louis van Amstel,TV Personality,Non-US,England,24,3,3rd Place,10,10,244.7216,24.47216,3.3584126922633497,8.157386666666667,4.7,16,0,1,7.0,7.11,31,,,10,2009,<25,False,Veteran
9,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,8,Eliminated Week 6,6,6,127.9998,21.333299999999998,3.88152203909755,7.1111,7.833333333333333,16,0,0,7.29,7.2,8,,,10,2009,<25,True,Experienced
9,Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,15,Eliminated Week 1,1,1,18.9999,18.9999,,6.3333,15.0,16,0,1,8.71,6.89,9,,,10,2009,35-45,True,Experienced
9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,6,Eliminated Week 7,7,7,169.4998,24.214257142857143,4.965324044093915,8.071419047619047,5.714285714285714,16,0,2,6.17,6.83,7,,,10,2009,35-45,True,Experienced
9,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,Eliminated Week 6,6,6,136.9999,22.833316666666665,3.4302507199425913,7.6111055555555565,7.0,16,3,10,5.19,8.31,30,,,10,2009,25-35,True,Veteran
9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,7,Eliminated Week 7,7,7,135.4998,19.357114285714285,3.350524480052127,6.452371428571429,9.857142857142858,16,0,0,7.0,6.45,1,,,10,2009,35-45,True,New
9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2,2nd Place,10,10,284.33299999999997,28.433299999999996,2.37423048024688,9.477766666666666,1.9,16,0,1,7.0,7.43,5,,,10,2009,25-35,True,Experienced
9,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,10,Eliminated Week 5,5,5,119.9998,23.999959999999998,2.5494509228459368,7.999986666666667,5.0,16,1,1,8.4,6.91,9,,,10,2009,25-35,True,Experienced
9,Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,13,Withdrew,3,3,52.9999,17.666633333333333,2.5165651200263683,5.888877777777778,12.333333333333334,16,2,8,5.8,7.65,30,,,10,2009,55+,True,Veteran
10,Aiden Turner,Edyta Sliwinska,Actor/Actress,Non-US,England,32,9,Eliminated Week 4,4,4,70.5,17.625,2.286737122335374,5.875,8.25,11,0,2,7.55,6.47,22,,,10,2010,25-35,False,Veteran
10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,3,3,39.0,13.0,1.0,4.333333333333333,10.666666666666666,11,0,1,7.25,5.55,10,,,10,2010,55+,True,Experienced
10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,4,Eliminated Week 9,9,9,199.4999,22.166655555555554,4.808823054321896,7.388885185185185,5.111111111111111,11,2,8,5.8,7.65,30,,,10,2010,25-35,True,Veteran
10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3,3rd Place,10,10,249.4998,24.94998,4.212734398833033,8.31666,3.0,11,1,5,6.0,7.91,24,,,10,2010,25-35,True,Veteran
10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2,2nd Place,10,10,262.8887,26.288869999999996,1.7781178851371033,8.762956666666666,2.0,11,0,2,8.18,6.95,20,,,10,2010,<25,True,Veteran
10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,7,Eliminated Week 6,6,6,127.9999,21.333316666666665,2.2508931564307217,7.1111055555555565,5.166666666666667,11,0,0,7.29,7.2,8,,,10,2010,25-35,True,Experienced
10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,8,Eliminated Week 5,5,5,77.0,15.4,0.5477225575051662,5.133333333333333,9.0,11,1,3,7.67,7.13,21,,,10,2010,25-35,True,Veteran
10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1,1st Place,10,10,280.7776,28.07776,3.559693356393996,9.359253333333333,1.2,11,6,9,2.94,8.88,19,,,10,2010,25-35,True,Veteran
10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,5,Eliminated Week 8,8,8,167.9998,20.999975,3.035457132789063,6.999991666666666,5.625,11,0,1,7.0,7.11,31,,,10,2010,35-45,True,Veteran
10,Pamela Anderson,Damian Whitewood,Model,Non-US,Canada,42,6,Eliminated Week 7,7,7,163.9998,23.428542857142855,3.3469303642079473,7.809514285714286,3.857142857142857,11,0,0,6.0,7.81,1,,,10,2010,35-45,False,New
10,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,11,Eliminated Week 2,2,2,38.0,19.0,1.4142135623730951,6.333333333333334,6.0,11,3,10,5.19,8.31,30,,,10,2010,35-45,True,Veteran
11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,7,Eliminated Week 6,6,6,145.9998,24.333299999999998,4.366469207494769,8.1111,3.0,12,1,3,7.67,7.13,21,,,10,2010,<25,True,Veteran
11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,4,Eliminated Week 9,9,9,248.4999,27.6111,5.504398367669257,8.865737037037038,2.0,12,1,5,6.0,7.91,24,,,10,2010,25-35,True,Veteran
11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3,3rd Place,10,10,229.1664,22.91664,5.278775812460899,7.368046666666667,5.9,12,3,10,5.19,8.31,30,,,10,2010,<25,True,Veteran
