celebrity_name,celebrity_industry,celebrity_age_during_season,placement,mean_alpha,mean_vote_share,is_controversial
Antonio Sabato Jr.,Actor/Actress,42,8,0.023313901193672455,0.09749509886364151,False
Apolo Anton Ohno,Athlete,24,1,-0.08814199216507661,0.14188540520500006,False
Ariana Madix,TV Personality,38,3,-1.4173076525095095e-09,0.13477741520139588,False
Arike Ogunbowale,Athlete,21,7,0.0195765021968208,0.11839734281154085,False
Ashley Hamiliton,Actor/Actress,34,16,0.7531074448300806,0.0952048532395186,False
Audrina Patridge,TV Personality,25,7,-0.13168458483040676,0.11173759206300594,False
Babyface,Singer/Rapper,57,11,0.11758888999758126,0.0889718415688486,False
Barbara Corcoran,Entrepreneur,68,13,0.2379244073192063,0.07941383058669385,False
Baron Davis,Athlete,46,13,-1.6460670036584582e-08,0.06272213184521115,False
Barry Williams,Actor/Actress,68,7,-4.365949744151362e-09,0.09179430912453251,False
Belinda Carlisle,Singer/Rapper,50,13,0.2299215852140909,0.08864824754503176,False
Bethany Mota,Social Media Personality,18,4,-0.1080421277958381,0.13279759513315403,False
Betsey Johnson,Fashion Designer,72,10,0.08071592934616015,0.08918197809593306,False
Bill Engvall,Comedian,56,4,0.0019442587660541536,0.12488430259982765,False
Bill Nye,TV Personality,57,11,0.2330174003395001,0.08360050282833374,False
Billy Dee Williams,Actor/Actress,76,10,0.40254380766529846,0.09425214965537015,False
Billy Ray Cyrus,Singer/Rapper,45,5,0.025165585672703755,0.12365267940776023,True
Bindi Irwin,TV Personality,17,1,-0.0812412332166297,0.1423216235422309,False
Bobby Bones,Radio Personality,38,1,-0.010267470296348844,0.11319709170169502,True
Bonner Bolton,Athlete,29,5,0.03278555920278025,0.11461709258749411,False
Brandy,Singer/Rapper,31,4,-0.14569658484025433,0.14180756920181328,False
Brant Daugherty,Actor/Actress,28,7,-0.03720045631245748,0.10987900412186827,False
Brian Austin Green,Actor/Actress,48,13,-4.5916170077471324e-10,0.06288987724383,False
Bristol Palin,TV Personality,19,3,-0.010388150720944952,0.13053646144329667,True
Brooke Burke,TV Personality,37,1,-0.18941785678559142,0.1593861785167209,False
Brooks Nader,Model,27,9,-9.217983413736469e-09,0.08826476719758382,False
Buzz Aldrin,Astronaut,80,10,0.2538391604560349,0.09025683697777237,False
Calvin Johnson Jr.,Athlete,30,3,-0.04861820218946247,0.12936081782700862,False
Cameron Mathison,Actor/Actress,38,5,-0.009223897357253336,0.1298563662713627,False
Candace Cameron Bure,Actor/Actress,37,3,-0.02701818516084767,0.13119136523649028,False
Carlos PenaVega,Actor/Actress,26,4,-0.04599908978555951,0.14270697620800418,False
Carole Baskin,TV Personality,59,14,0.0,0.05048948912319814,False
Carson Kressley,TV Personality,41,8,0.07149948534333603,0.10224532893516769,False
Chad Ochocinco,Athlete,32,4,-0.02083767078837513,0.14141018376319278,False
Chaka Khan,Singer/Rapper,62,13,0.34941508362414003,0.08035940585407354,False
Chandler Kinney,Actor/Actress,24,3,-2.914427050312799e-11,0.1441101170364655,False
Charity Lawson,TV Personality,27,4,-1.4173076525095095e-09,0.1345064371575519,False
Charles Oakley,Athlete,56,15,0.0,0.0519350502869819,False
Charli D'Amelio,Social Media Personality,18,1,-2.2970803899363906e-09,0.12475146268364487,False
Charlie White,Athlete,26,5,-0.05856831024377466,0.12804435114903126,False
Charlotte McKinney,Model,21,11,0.19398311399664,0.08976064527896867,False
Charo,Actor/Actress,66,11,0.14967947764567655,0.08931207851590117,False
Chaz Bono,TV Personality,42,7,0.05956965303336798,0.10687324963471705,False
Chelsea Kane,Actor/Actress,22,3,-0.11300907695443205,0.15595389927558703,False
Cheryl Ladd,Actor/Actress,71,14,-2.8713504874204872e-09,0.0556402722082654,False
Chris Jericho,Athlete,40,7,-0.0010497397958687167,0.11526676729580677,False
Chris Kattan,Comedian,46,12,0.24700155629692194,0.08357935443362095,False
Chris Mazdzer,Athlete,29,5,0.06708549902806966,0.14017113225494485,False
Chris Soules,TV Personality,33,5,0.02320272363317325,0.10813781749553059,False
Chrishell Stause,Actor/Actress,39,8,-4.864660468270913e-09,0.08058404569455026,False
Christina Milian,Singer/Rapper,31,9,-0.08946144577565525,0.0947713074388408,False
Christine Chiu,TV Personality,38,14,-1.7015892149836042e-08,0.06651385294944737,False
Chuck Liddell,Athlete,39,11,0.1274250832336033,0.07970332229027427,False
Chuck Wicks,Singer/Rapper,29,6,-0.03973269348176744,0.11282470254546964,False
Chynna Phillips,Singer/Rapper,43,9,0.0022267747642006758,0.10468509584097613,False
Cloris Leachman,Actor/Actress,82,7,0.08189502872607667,0.10627306914511914,False
Clyde Drexler,Athlete,44,8,0.13684895438216194,0.10078541400467642,False
Cody Linley,Actor/Actress,18,4,-0.04381931616182195,0.14296119414828617,False
Cody Rigsby,Fitness Instructor,34,3,-9.44407875146501e-10,0.10708586793614965,False
Cody Simpson,Singer/Rapper,17,9,0.015430665895584639,0.10347866345306697,False
Corbin Bleu,Actor/Actress,24,2,-0.09530709789604724,0.13448973100023345,False
Corey Feldman,Actor/Actress,54,13,-9.442447218904751e-10,0.0557021431043563,False
Cristian de la Fuente,Actor/Actress,34,3,-0.0477709373866857,0.15492271969288435,False
D. L. Hughley,Comedian,50,9,0.08355929638301761,0.08930187193224007,False
Danelle Umstead,Athlete,46,12,0.2323507469558165,0.08983250582291505,False
Danica McKellar,Actor/Actress,39,6,-0.03364508649267068,0.1203978150691275,False
Daniel Durant,Actor/Actress,32,5,-2.552311544373767e-09,0.09468515113751512,False
Danielle Fishel,Actor/Actress,44,8,-1.5391831784470263e-09,0.09140288127433033,False
Danny Amendola,Athlete,39,5,-8.840414850167258e-10,0.13152907882168324,False
David Alan Grier,Actor/Actress,52,9,0.020141940334924845,0.0944635798914097,False
David Arquette,Actor/Actress,40,6,-0.01786960065216463,0.11810728278492531,False
David Hasselhoff,Actor/Actress,58,12,0.5961680669284366,0.1190528723743111,False
David Ross,Athlete,40,2,-0.01242875810278486,0.14475680361049345,False
DeMarcus Ware,Athlete,36,7,-0.012394492546670256,0.10349791042612384,False
Debbie Gibson,Singer/Rapper,47,12,-0.01154140838541685,0.0737081108658416,False
Debi Mazar,Actor/Actress,45,12,0.1476283723769403,0.07973691502017095,False
Denise Richards,Actor/Actress,38,12,0.2399626226521244,0.09385814942703845,False
Derek Fisher,Athlete,43,11,0.056475710469200024,0.08517646827628444,False
Diana Nyad,Athlete,64,12,0.5136694714831699,0.1111598384601918,False
Donald Driver,Athlete,37,1,-0.05853318430803541,0.1483024226115348,False
Donny Osmond,Singer/Rapper,51,1,-0.07541537539920452,0.14589822048292006,False
Dorothy Hamill,Athlete,56,12,0.3403051372566316,0.10596659287420265,False
Doug Flutie,Athlete,53,9,0.04291950425549266,0.09230150236967692,False
Drew Carey,Comedian,55,8,0.0217365380739882,0.1014205768942379,False
Drew Lachey,Singer/Rapper,29,1,0.01007544837168819,0.16906423277522695,False
Drew Scott,TV Personality,39,4,-0.00915080399138383,0.12392600308045673,False
Dwight Howard ,Athlete,38,6,2.0876336132117933e-09,0.1106155359646842,False
Dylan Efron,TV Personality,33,4,3.6042909923621026e-10,0.11605919750499666,False
Elaine Hendrix,Actor/Actress,55,5,-1.5465239409668585e-09,0.11289146950567702,False
Elisabetta Canalis,Actor/Actress,33,11,0.026283713663770147,0.08756772881844141,False
Elizabeth Berkley Lauren,Actor/Actress,39,6,-0.05577355921466122,0.11666233957393476,False
Emmitt Smith,Athlete,37,1,-0.050450786551393546,0.16291529771432628,False
Eric Roberts,Actor/Actress,68,10,-2.9126375593527546e-09,0.06499327568843347,False
Erika Jayne,Singer/Rapper,45,9,0.03248966409400416,0.09496491761039919,False
Erin Andrews,Sports Broadcaster,32,3,-0.0818386244223037,0.16176557135669736,False
Evan Lysacek,Athlete,24,2,-0.16215095634290752,0.15648921075969652,False
Evander Holyfield,Athlete,42,5,-9.571168291401628e-10,0.1390352295501281,False
Evanna Lynch,Actor/Actress,27,3,-0.058840060721689603,0.12343778891975103,False
Florence Henderson,Actor/Actress,76,8,-0.0018419075275036168,0.1031964283811631,False
Floyd Mayweather Jr. ,Athlete,30,9,0.04565682269605485,0.09575549243213576,False
Frankie Muniz,Actor/Actress,31,3,-0.05490285300751467,0.1258021362506317,False
Gabby Windey,TV Personality,31,2,-2.2970803899363906e-09,0.11937381194568775,False
Gary Busey,Actor/Actress,71,10,0.19167273679715338,0.087402911730513,False
Gavin DeGraw,Singer/Rapper,35,9,0.0966777222381525,0.09729640644460609,False
George Hamilton,Actor/Actress,66,5,3.975449306390383e-09,0.1297745217765577,False
Geraldo Rivera,Journalist,72,12,0.3890971184763459,0.08727192234785255,False
Gilles Marini,Actor/Actress,33,2,-0.12028639952437618,0.13315629902697773,False
Ginger Zee,News Anchor,35,3,-0.04121887281254813,0.1414812506959691,False
Giselle Fernandez,News Anchor,44,8,-1.2992560172422101e-08,0.11826837532165774,False
Gladys Knight,Singer/Rapper,67,8,0.07683818867295976,0.100176400016241,False
Hannah Brown,TV Personality,24,1,-8.665054844271807e-10,0.1413099740386442,False
Harry Hamlin,Actor/Actress,54,9,0.04258562165640067,0.1056004432427145,False
Harry Jowsey,TV Personality,26,6,-3.4254499744486523e-10,0.08997153552379188,False
Hayes Grier,Social Media Personality,15,8,-0.0582439895995039,0.09891642008011976,False
Heather Mills,Model,39,7,-0.019051018187379545,0.12024364506807339,False
Heather Morris,Actor/Actress,30,8,-0.061012898785889835,0.10314903251300318,False
Heidi D'Amelio,Social Media Personality,50,8,-2.512431676492927e-09,0.0875980558070811,False
Helio Castroneves,Racing Driver,32,1,-0.0591439121243945,0.14436629109528024,False
Hilaria Baldwin,Entrepreneur,41,11,-1.141309521244556e-08,0.08461008821701238,False
Hines Ward,Athlete,35,1,-0.10290678618833608,0.16175781646296455,False
Holly Madison,TV Personality,30,11,0.15083629778038257,0.08691866162396578,False
Hope Solo,Athlete,30,4,-0.006848015903401388,0.1455379332755556,False
Ian Ziering,Actor/Actress,42,4,-0.07461890178547152,0.1451656009320847,False
Ilona Maher,Athlete,28,2,-2.914427050312427e-11,0.12861973380076988,False
Iman Shumpert,Athlete,31,1,-9.444078751465133e-10,0.10830094667838866,False
Ingo Rademacher,Actor/Actress,41,5,-0.026252307158269667,0.12455256610175683,False
J.R. Martinez,Actor/Actress,28,1,-0.14313102361963995,0.15450131623193536,False
Jack Osbourne,TV Personality,27,3,-0.03163715040339638,0.13547412335941264,False
Jack Wagner,Actor/Actress,52,11,0.06028485558614783,0.0906077822124934,False
Jacoby Jones,Athlete,28,3,-0.11202460871601179,0.1341557566736945,False
Jake Pavelka,TV Personality,32,7,-0.004721783282232013,0.11705224303037763,False
Jake T. Austin,Actor/Actress,21,13,0.18279786477325274,0.08187960949685394,False
Jaleel White,Actor/Actress,35,7,-0.039443792945785004,0.10671091885070316,False
James Hinchcliffe,Racing Driver,29,2,-0.08219056512431079,0.13175885756114372,False
James Maslow,Actor/Actress,23,4,-0.036277111908862084,0.13943596685593682,False
James Van Der Beek,Actor/Actress,42,5,5.52549728871575e-10,0.13082675115570594,False
Jamie Anderson,Athlete,27,10,0.2800439282176116,0.1223374603668394,False
Jamie Lynn Spears,Actor/Actress,32,13,-1.435675243710243e-09,0.0652199917710322,False
Jana Kramer,Singer/Rapper,32,4,-0.030322387469653978,0.13206975507906707,False
Jane Seymour,Actor/Actress,56,6,-0.056610668576398536,0.11518722865004968,False
Janel Parrish,Actor/Actress,25,3,-0.10972012248692219,0.1317543749588346,False
Jason Lewis,Actor/Actress,51,16,-2.871350487420486e-09,0.0480611665639053,False
Jason Mraz,Singer/Rapper,46,2,-1.4173076525095088e-09,0.13575586928473815,False
Jason Taylor,Athlete,33,2,-0.09150675322999205,0.15757191468053133,False
Jeannie Mai,TV Personality,41,9,-8.203858535487111e-10,0.07899055965372834,False
Jeffrey Ross,Comedian,43,13,0.8894111142159484,0.1110767899851242,False
Jen Affleck,TV Personality,26,9,1.6477669288683085e-09,0.08653915514673953,False
Jenn Tran,TV Personality,26,7,-3.805351182026861e-09,0.10517655221686222,False
Jennie Finch Daigle,Athlete,37,6,-0.003965137417023933,0.12065489501589666,False
Jennie Garth,Actor/Actress,35,4,-0.033121480612406794,0.141852066862912,False
Jennifer Grey,Actor/Actress,50,1,-0.1686827726723474,0.15812206497221212,False
Jerry Rice,Athlete,43,2,-1.3042303533603107e-09,0.16460384345029033,True
Jerry Springer,TV Personality,62,5,0.02281002906460211,0.1290349973603833,False
Jesse Metcalfe,Actor/Actress,41,12,0.0,0.06977381783245565,False
Jessie James Decker,Singer/Rapper,34,10,-2.3927920728504064e-09,0.07084560920191085,False
Jimmie Allen,Singer/Rapper,36,7,-4.6267222207800496e-10,0.0858837315171697,False
JoJo Siwa,Social Media Personality,18,2,-9.44407875146501e-10,0.12239494903976585,False
Joanna Krupa,Model,30,4,-0.12285562474992578,0.12358795625163996,False
Jodie Sweetin,Actor/Actress,34,6,-0.038363425102915134,0.11010051826663608,False
Joe Amabile,TV Personality,32,6,0.023437728870571602,0.0927382498582483,False
Joey Fatone,Singer/Rapper,30,2,-0.10906455535043047,0.14840898521674603,False
Joey Graziadei,TV Personality,29,1,-8.840414850167296e-10,0.14100525565165964,False
Joey Lawrence,Actor/Actress,30,3,-0.07270830850115356,0.1715789952894202,False
Joey McIntyre,Singer/Rapper,32,3,-1.148540194968195e-09,0.21654299760085646,False
John O'Hurley,Actor/Actress,50,2,-9.571168291401625e-10,0.2864080044801877,False
John Ratzenberger,Actor/Actress,59,6,0.00998850053432517,0.11285405450638886,False
John Schneider,Actor/Actress,58,8,-0.010328644647299429,0.0911172625231126,False
Johnny Damon,Athlete,44,9,-0.0129682634561251,0.0883887092332069,False
Johnny Weir,Athlete,36,6,-3.241905416430049e-09,0.1041447862733483,False
Jonathan Bennett,Actor/Actress,33,9,0.013770948187881549,0.09364353976936181,False
Jordan Chiles,Athlete,24,3,-1.546523940966853e-09,0.11817788297208844,False
Jordan Fisher,Actor/Actress,23,1,-0.10833087994335706,0.12959454166868556,False
Jordin Sparks,Singer/Rapper,32,9,-2.4611575606461324e-09,0.08136064720969746,False
Joseph Baena,Actor/Actress,24,11,-2.2970803899363898e-09,0.06707755751717429,False
Josh Norman,Athlete,30,2,-0.057673318538573846,0.18026162289499248,False
Josie Maran,Model,29,12,0.622767497485797,0.1134405890953298,False
Juan Pablo Di Pace,Actor/Actress,39,5,-0.0860658051716203,0.1148224038302103,False
Justina Machado,Actor/Actress,48,4,-4.45578019114691e-09,0.11571165645356331,False
Kaitlyn Bristowe,TV Personality,35,1,2.3261289847632598e-10,0.11971159953082071,False
Karamo Brown,TV Personality,38,8,-9.514585487540715e-10,0.09688360355436428,False
Kareem Abdul-Jabbar,Athlete,71,8,-0.0063087401953052,0.09790891583009165,False
Kate Flannery,Actor/Actress,55,7,6.906871610894824e-10,0.10814969397599103,False
Kate Gosselin,TV Personality,35,8,0.10031021114238745,0.09955968761352749,False
Katherine Jenkins,Singer/Rapper,31,2,-0.10700167533078024,0.1470151966605075,False
Kathy Ireland,Model,46,14,0.23379056199571455,0.0764550976558323,False
Kel Mitchell,Actor/Actress,41,2,-8.665054844271808e-10,0.13937418475300112,False
Kellie Pickler,Singer/Rapper,26,1,-0.18785586538995297,0.13113688387835246,False
Kelly Monaco,Actor/Actress,29,1,-0.010413895756085442,0.1861888718486748,False
Kelly Osbourne,TV Personality,24,3,-0.04481491011325606,0.1393406638632404,False
Kendra Wilkinson,TV Personality,25,6,-0.02458454156452067,0.11364011355014676,False
Kenny Mayne,Sports Broadcaster,46,10,-2.871350487420488e-09,0.0702937682844424,False
Kenya Moore,TV Personality,50,10,4.8290560054331525e-09,0.07577104763315297,False
Keyshawn Johnson,Athlete,41,12,0.24974866628828954,0.08829918497589115,False
Kim Fields,Actor/Actress,46,8,-0.004212936409241272,0.10110866658256668,False
Kim Kardashian,TV Personality,27,11,0.1708992249696026,0.09816532814059539,False
Kim Zolciak-Biermann,TV Personality,37,11,-0.0214292739343388,0.061222615930409605,False
Kirstie Alley,Actor/Actress,60,2,-0.01395067836515396,0.13440861740922086,False
Kristi Yamaguchi,Athlete,36,1,-0.15175871245861647,0.15995633546029342,False
Kristin Cavallari,TV Personality,24,10,0.026515743474738503,0.1011827670900713,False
Kurt Warner,Athlete,39,5,-0.017592245380867975,0.12808191892676526,False
Kyle Massey,Actor/Actress,19,2,-0.07285864864243567,0.1591157702145765,False
Laila Ali,Athlete,29,3,-0.13970531254396903,0.1586141033544864,False
Lamar Odom,Athlete,39,10,-4.830444102824522e-10,0.0643664086494677,False
Lance Bass,Singer/Rapper,29,3,-0.12492942708779578,0.15210751138273473,False
Lauren Alaina,Singer/Rapper,24,4,-8.665054844271802e-10,0.134388855321904,False
Lauren Jauregui,Singer/Rapper,29,12,-6.294964812603177e-10,0.0748224161100276,False
Laurie Hernandez,Athlete,16,1,-0.11030562087581498,0.12952808735734067,False
Lawrence Taylor,Athlete,50,7,0.016296440905323745,0.09955699018670806,False
Lea Thompson,Actor/Actress,53,6,-0.0642872417334071,0.11568759077604304,False
Leah Remini,Actor/Actress,43,5,-0.0035396116122254186,0.12476698292008856,False
Leeza Gibbons,TV Personality,50,9,0.1311379847195331,0.10536923158795658,False
Lele Pons,Social Media Personality,27,8,-1.8170048128834444e-09,0.09782837783686829,False
Lil' Kim,Singer/Rapper,34,5,-0.09690019059735594,0.1240483530169871,False
Lindsey Stirling,Musician,31,2,-0.05041008749668622,0.13326611887321987,False
Lisa Rinna,Actor/Actress,42,4,-1.4905489752689208e-09,0.15939799937292926,False
Lisa Vanderpump,TV Personality,52,10,0.09616762083969248,0.0952234288615262,False
Lolo Jones,Athlete,32,13,0.6112994595516731,0.1059492512710585,False
Louie Vito,Athlete,21,8,0.050562292626247146,0.08734046056104598,False
Macy Gray,Singer/Rapper,42,15,-0.0337292296274454,0.0500131649376909,False
Margaret Cho,Comedian,41,10,0.1079729111311359,0.09345499519639779,False
Maria Menounos,TV Personality,33,4,-0.06904938674866648,0.1275185807835325,False
Marie Osmond,Singer/Rapper,47,3,-0.026732540768948942,0.15205047252438025,False
Marilu Henner,Actor/Actress,64,6,-0.00305915187879169,0.10803086261313186,False
Mario,Singer/Rapper,21,5,-0.07262370277072405,0.12809161240538613,False
Mario Lopez,Actor/Actress,32,2,-0.09894920015643445,0.20410128435583283,False
Marissa Jaret Winokur,Actor/Actress,35,4,-0.009722817297610965,0.1385890096945931,False
Mark Cuban,TV Personality,49,8,0.05349677256672856,0.09990517294022554,False
Mark Dacascos,Actor/Actress,45,6,-0.003020534181338186,0.09979626722574352,False
Marla Maples,TV Personality,52,10,0.05135271930911506,0.09681137323936508,False
Marlee Matlin,Actor/Actress,42,7,0.025325078113721044,0.1122184829890912,False
Martin Kove,Actor/Actress,75,15,0.0,0.04241163084987805,False
Martina Navratilova,Athlete,55,12,0.29821499356201764,0.09294718246162065,False
Mary Lou Retton,Athlete,50,9,0.036593215439073394,0.10279259305014475,False
Mary Wilson,Singer/Rapper,75,12,-1.092857851521456e-08,0.07691843512519915,False
Master P,Singer/Rapper,35,7,-1.8906230848654804e-09,0.07639512451651942,False
Matt James,Athlete,29,12,-4.591617007747144e-10,0.0643754127253327,False
Matt Walsh,Comedian,58,14,0.0,0.0532507529145762,False
Maureen McCormick,Actor/Actress,60,8,0.008650056623753259,0.09589993689543931,False
Maurice Greene,Athlete,34,5,-0.025140443509926322,0.13187970194987148,False
Mauricio Umansky,TV Personality,53,9,-1.641280533793937e-09,0.0781411800242916,False
Mel B,Singer/Rapper,32,2,-0.10148535973765241,0.16101823828911976,False
Melanie C,Singer/Rapper,47,11,-7.196434744139506e-09,0.07939085534230628,False
Melissa Gilbert,Actor/Actress,47,5,-0.005488444434293213,0.10711059925095087,False
Melissa Joan Hart,Actor/Actress,33,9,-0.08064761979339388,0.07936707040410103,False
Melissa Rycroft,TV Personality,26,3,-0.08044057244093726,0.14783767504842954,False
Melora Hardin,Actor/Actress,54,6,1.6638563577486302e-10,0.10032994077930191,False
Meryl Davis,Athlete,27,1,-0.07067107674726776,0.14097768367109578,False
Metta World Peace (Ron),Athlete,31,12,0.5916367160229064,0.1148154766538556,False
Michael Bolton,Singer/Rapper,57,11,0.484386260543477,0.1029920622053636,False
Michael Irvin,Athlete,43,7,-0.024543684721772156,0.08022765208556533,False
Michael Sam,Athlete,25,10,0.05954837912775252,0.09076870551041355,False
Michael Waltrip,Racing Driver,51,7,0.06332982534784329,0.09903159850039862,False
"Mike ""The Miz"" Mizanin",Athlete,40,9,-5.287682538034332e-10,0.07965886105993888,False
Mike Catherwood,Radio Personality,32,11,0.2194117612088963,0.09278953016768746,False
Milo Manheim,Actor/Actress,17,2,-0.07905539889066139,0.12683480145712864,False
Mira Sorvino,Actor/Actress,55,10,1.106229297051537e-09,0.08076460406055148,False
Mirai Nagasu,Athlete,25,4,-0.045945507358036736,0.1345715590665897,False
Mischa Barton,Actor/Actress,30,11,0.11837735517749892,0.08344637029940911,False
Misty May-Treanor,Athlete,31,10,-0.1305758578445563,0.0854465420719382,False
Monica Aldama,TV Personality,48,10,-8.20385853548711e-10,0.08011082352362953,False
Monica Seles,Athlete,34,11,0.37504758268119065,0.0929608140283634,False
Monique Coleman,Actor/Actress,25,4,-0.049128603863861864,0.1540450599554044,False
Mr. T,Actor/Actress,64,10,0.08100177677534287,0.08440395032441843,False
Mya,Singer/Rapper,29,2,-0.16678539069671583,0.14333350146245358,False
Nancy Grace,TV Personality,51,5,0.01718307060627909,0.12651643299067014,False
Nancy Kerrigan,Athlete,47,7,-0.007905808894538267,0.11175392835773902,False
Nancy McKeon,Actor/Actress,52,11,0.0979528727282506,0.08904091463942072,False
Nastia Liukin,Athlete,25,4,-0.0830839243959785,0.132774834340744,False
Natalie Coughlin,Athlete,27,10,-0.028828112606343194,0.0878034364816435,False
NeNe Leakes,TV Personality,46,7,0.00966528810206991,0.10879823394429507,False
Nelly,Singer/Rapper,45,3,-1.3301847980647493e-09,0.1064561645411759,False
Nev Schulman,Producer,35,2,2.326128984763296e-10,0.12118675807939683,False
Nick Carter,Singer/Rapper,35,2,-0.08350271400055209,0.13697410261206186,False
Nick Lachey,Singer/Rapper,43,9,0.08431096363280786,0.09101286467095028,False
Nick Viall,TV Personality,36,6,-0.010531242374610842,0.09913493676223464,False
"Nicole ""Snooki"" Polizzi",TV Personality,25,8,-0.021829429633797772,0.10516066680775318,False
Nicole Scherzinger,Singer/Rapper,31,1,-0.22029884319237986,0.15615233285691535,False
Niecy Nash,Actor/Actress,40,5,-0.0070284651722453476,0.1278446419607625,False
Nikki Bella,Athlete,33,8,0.016622246689623917,0.09915713444780554,False
Nikki Glaser,Comedian,34,13,0.378884682891382,0.0993422021900923,False
Noah Galloway,Motivational Speaker,33,3,-0.01036504561448144,0.14302486780894288,False
Normani,Singer/Rapper,20,3,-0.10202692376160441,0.15103660623317028,False
Nyle DiMarco,Model,26,1,-0.04825305201014277,0.14454873492455977,False
Olivia Jade,Social Media Personality,21,8,5.461026511742806e-10,0.09245387022395382,False
Paige VanZant,Athlete,22,2,-0.09244763593708902,0.13886403087988802,False
Pamela Anderson,Model,42,6,0.003679934392326445,0.12025492814217414,False
Patti LaBelle,Singer/Rapper,70,8,0.008279625817702798,0.09317171300718687,False
Paula Deen,TV Personality,68,9,0.09628168947289628,0.08751072656823468,False
Paulina Porizkova,Model,41,11,0.141300137112423,0.1025293275343861,False
Penn Jillette,Magician,53,12,-0.02758356242430565,0.06887736722674775,False
Petra Nemcova,Model,31,8,-0.021480889512716594,0.10337409399338197,False
Phaedra Parks,TV Personality,51,8,3.196881996332208e-10,0.09438531489414181,False
Priscilla Presley,Actor/Actress,62,8,0.026571146982926765,0.109130359292258,False
Rachel Hunter,Model,35,4,-1.4356752437102434e-09,0.22426816194288815,False
Ralph Macchio,Actor/Actress,49,4,0.0026490858812604303,0.1477323487824136,False
Randy Couture,Athlete,51,11,0.10871706020542649,0.09194777863237634,False
Rashad Jennings,Athlete,32,1,-0.0737988316019845,0.15367717204168718,False
Ray Lewis,Athlete,44,11,8.996400874084711e-09,0.07203866747321966,False
Redfoo,Singer/Rapper,39,12,0.04270798785791025,0.08379046331625184,False
Reginald VelJohnson,Actor/Actress,74,10,-2.9126375593527695e-09,0.06447341954805977,False
Rick Fox,Athlete,41,6,-0.06560517007834625,0.12175237541551924,False
Rick Perry,Politician,66,12,0.13658286423179058,0.07736856151575547,False
Ricki Lake,Actor/Actress,42,3,-0.14046544197877697,0.15597067103668166,False
Riker Lynch,Actor/Actress,23,2,-0.06681121125992377,0.15297556723781763,False
Rob Kardashian,TV Personality,24,2,-0.0533180760193103,0.1581850523004991,False
Robert Herjavec,Entrepreneur,52,6,-0.012488366261821936,0.10590467125561606,False
Robert Irwin,Conservationist,22,1,-1.5465239409668535e-09,0.12181942521826167,False
Rocco DiSpirito,TV Personality,41,9,0.08809441227008585,0.09743403940857545,False
Romeo,Singer/Rapper,21,5,-0.05225430223914025,0.12837098071763578,False
Roshon Fegan,Actor/Actress,20,6,-0.06292345289728701,0.11223219099475473,False
Rumer Willis,Actor/Actress,26,1,-0.0626256440864777,0.1527836426009311,False
Ryan Lochte,Athlete,32,7,0.024970537250020113,0.10121649725715967,False
Sabrina Bryan,Actor/Actress,23,7,-0.09484157981036799,0.10675528623533048,False
Sadie Robertson,TV Personality,17,2,-0.0589492136663298,0.13681892877580146,False
Sailor Brinkley-Cook,Model,21,9,-5.650495764781223e-09,0.10423858769521334,False
Sam Champion,News Anchor,61,13,-2.1535128655653645e-09,0.059852905797227574,False
Sara Evans,Singer/Rapper,35,6,0.00563312734973242,0.11049906292664358,False
