season,week,actual_eliminated,new_system_eliminated,match
32,8,Barry Williams,Harry Jowsey,False
32,9,Harry Jowsey,Alyson Hannigan,False
33,2,"['Anna Delvey', 'Tori Spelling']",Reginald VelJohnson,False
33,3,"['Eric Roberts', 'Reginald VelJohnson']",Dwight Howard ,False
33,4,Brooks Nader,Dwight Howard ,False
33,5,Phaedra Parks,Stephen Nedoroscik,False
33,6,Jenn Tran,Ilona Maher,False
33,7,Dwight Howard ,Danny Amendola,False
34,2,"['Baron Davis', 'Corey Feldman']",Andy Richter,False
34,3,Lauren Jauregui,Andy Richter,False
34,4,Hilaria Baldwin,Andy Richter,False
34,6,Scott Hoying,Andy Richter,False
34,7,Jen Affleck,Andy Richter,False
34,8,Danielle Fishel,Andy Richter,False
34,9,Andy Richter,Elaine Hendrix,False
34,10,Whitney Leavitt,Whitney Leavitt,True
