season,week,n_contestants,actual_method,actual_eliminated,rank_eliminated,pct_eliminated,methods_agree,rank_bottom_two,pct_bottom_two,rank_elim_judge_rank,rank_elim_vote_rank,pct_elim_judge_rank,pct_elim_vote_rank
5,8,5,percentage,Cameron Mathison,Cameron Mathison,Cameron Mathison,True,"['Cameron Mathison', 'Marie Osmond']","['Cameron Mathison', 'Jennie Garth']",3,5,3,5
5,9,4,percentage,Jennie Garth,Jennie Garth,Jennie Garth,True,"['Jennie Garth', 'Marie Osmond']","['Jennie Garth', 'Marie Osmond']",3,4,3,4
6,2,12,percentage,"['Monica Seles', 'Penn Jillette']",Penn Jillette,Monica Seles,False,"['Penn Jillette', 'Monica Seles']","['Monica Seles', 'Steve Guttenberg']",10,12,12,1
6,3,10,percentage,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,True,"['Steve Guttenberg', 'Marissa Jaret Winokur']","['Steve Guttenberg', 'Marissa Jaret Winokur']",6,10,6,10
6,4,9,percentage,Adam Carolla,Adam Carolla,Adam Carolla,True,"['Adam Carolla', 'Priscilla Presley']","['Adam Carolla', 'Priscilla Presley']",9,1,9,1
6,5,8,percentage,Priscilla Presley,Priscilla Presley,Priscilla Presley,True,"['Priscilla Presley', 'Marlee Matlin']","['Priscilla Presley', 'Marlee Matlin']",8,1,8,1
6,6,7,percentage,Marlee Matlin,Marlee Matlin,Marlee Matlin,True,"['Marlee Matlin', 'Shannon Elizabeth']","['Marlee Matlin', 'Shannon Elizabeth']",7,1,7,1
6,7,6,percentage,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,True,"['Shannon Elizabeth', 'Cristian de la Fuente']","['Shannon Elizabeth', 'Cristian de la Fuente']",4,6,4,6
6,8,5,percentage,Mario,Mario,Mario,True,"['Mario', 'Jason Taylor']","['Mario', 'Marissa Jaret Winokur']",3,5,3,5
6,9,4,percentage,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,"['Marissa Jaret Winokur', 'Jason Taylor']","['Marissa Jaret Winokur', 'Jason Taylor']",4,1,4,1
7,1,13,percentage,"['Ted McGinley', 'Jeffrey Ross']",Ted McGinley,Jeffrey Ross,False,"['Ted McGinley', 'Jeffrey Ross']","['Jeffrey Ross', 'Cloris Leachman']",8,13,13,1
7,2,11,percentage,Kim Kardashian,Kim Kardashian,Kim Kardashian,True,"['Kim Kardashian', 'Rocco DiSpirito']","['Kim Kardashian', 'Cloris Leachman']",9,11,9,11
7,4,9,percentage,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True,"['Rocco DiSpirito', 'Maurice Greene']","['Rocco DiSpirito', 'Maurice Greene']",9,1,9,1
7,5,8,percentage,Toni Braxton,Toni Braxton,Toni Braxton,True,"['Toni Braxton', 'Lance Bass']","['Toni Braxton', 'Cloris Leachman']",5,8,5,8
7,6,7,percentage,Cloris Leachman,Cloris Leachman,Cloris Leachman,True,"['Cloris Leachman', 'Maurice Greene']","['Cloris Leachman', 'Maurice Greene']",7,1,7,1
7,7,6,percentage,Susan Lucci,Susan Lucci,Susan Lucci,True,"['Susan Lucci', 'Warren Sapp']","['Susan Lucci', 'Cody Linley']",4,6,4,6
7,8,5,percentage,Maurice Greene,Maurice Greene,Maurice Greene,True,"['Maurice Greene', 'Cody Linley']","['Maurice Greene', 'Cody Linley']",4,5,4,5
7,9,4,percentage,Cody Linley,Cody Linley,Cody Linley,True,"['Cody Linley', 'Brooke Burke']","['Cody Linley', 'Warren Sapp']",4,1,4,1
8,2,13,percentage,Belinda Carlisle,Belinda Carlisle,Belinda Carlisle,True,"['Belinda Carlisle', 'Steve-O']","['Belinda Carlisle', 'Steve-O']",9,13,9,13
8,3,12,percentage,Denise Richards,Denise Richards,Denise Richards,True,"['Denise Richards', 'Steve-O']","['Denise Richards', 'Steve Wozniak']",10,12,10,12
8,4,11,percentage,"['Steve Wozniak', 'Holly Madison']",Holly Madison,Steve Wozniak,False,"['Holly Madison', 'Steve-O']","['Steve Wozniak', 'Holly Madison']",9,11,11,1
8,5,9,percentage,David Alan Grier,David Alan Grier,David Alan Grier,True,"['David Alan Grier', 'Ty Murray']","['David Alan Grier', 'Steve-O']",6,9,6,9
8,6,8,percentage,Steve-O,Steve-O,Steve-O,True,"['Steve-O', 'Ty Murray']","['Steve-O', 'Ty Murray']",8,1,8,1
8,7,7,percentage,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True,"['Lawrence Taylor', 'Ty Murray']","['Lawrence Taylor', 'Ty Murray']",7,1,7,1
8,8,6,percentage,Chuck Wicks,Chuck Wicks,Chuck Wicks,True,"['Chuck Wicks', 'Melissa Rycroft']","['Chuck Wicks', 'Melissa Rycroft']",5,6,5,6
8,9,5,percentage,Lil' Kim,Lil' Kim,Lil' Kim,True,"[""Lil' Kim"", 'Ty Murray']","[""Lil' Kim"", 'Ty Murray']",4,5,4,5
8,10,4,percentage,Ty Murray,Ty Murray,Ty Murray,True,"['Ty Murray', 'Melissa Rycroft']","['Ty Murray', 'Melissa Rycroft']",4,1,4,1
9,1,16,percentage,"['Ashley Hamiliton', 'Macy Gray']",Ashley Hamiliton,Ashley Hamiliton,True,"['Macy Gray', 'Ashley Hamiliton']","['Ashley Hamiliton', 'Macy Gray']",15,15,15,15
9,2,14,percentage,Kathy Ireland,Kathy Ireland,Kathy Ireland,True,"['Kathy Ireland', 'Tom DeLay']","['Kathy Ireland', 'Tom DeLay']",13,14,13,14
9,3,13,percentage,Debi Mazar,Debi Mazar,Debi Mazar,True,"['Debi Mazar', 'Michael Irvin']","['Debi Mazar', 'Tom DeLay']",10,13,10,13
9,4,11,percentage,Chuck Liddell,Chuck Liddell,Chuck Liddell,True,"['Chuck Liddell', 'Aaron Carter']","['Chuck Liddell', 'Louie Vito']",9,11,9,11
9,5,10,percentage,Natalie Coughlin,Natalie Coughlin,Natalie Coughlin,True,"['Natalie Coughlin', 'Michael Irvin']","['Natalie Coughlin', 'Michael Irvin']",8,10,8,10
9,6,9,percentage,"['Melissa Joan Hart', 'Louie Vito']",Melissa Joan Hart,Michael Irvin,False,"['Melissa Joan Hart', 'Louie Vito']","['Michael Irvin', 'Melissa Joan Hart']",8,8,9,1
9,7,7,percentage,"['Mark Dacascos', 'Michael Irvin']",Michael Irvin,Mark Dacascos,False,"['Michael Irvin', 'Mark Dacascos']","['Mark Dacascos', 'Michael Irvin']",6,7,7,1
9,8,5,percentage,Aaron Carter,Aaron Carter,Aaron Carter,True,"['Aaron Carter', 'Kelly Osbourne']","['Aaron Carter', 'Donny Osmond']",4,5,4,5
9,9,4,percentage,Joanna Krupa,Joanna Krupa,Joanna Krupa,True,"['Joanna Krupa', 'Kelly Osbourne']","['Joanna Krupa', 'Donny Osmond']",2,4,2,4
10,2,11,percentage,Shannen Doherty,Shannen Doherty,Shannen Doherty,True,"['Shannen Doherty', 'Chad Ochocinco']","['Shannen Doherty', 'Kate Gosselin']",6,11,6,11
10,3,10,percentage,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,True,"['Buzz Aldrin', 'Kate Gosselin']","['Buzz Aldrin', 'Kate Gosselin']",10,1,10,1
10,4,9,percentage,Aiden Turner,Aiden Turner,Aiden Turner,True,"['Aiden Turner', 'Kate Gosselin']","['Aiden Turner', 'Kate Gosselin']",8,9,8,9
10,5,8,percentage,Kate Gosselin,Kate Gosselin,Kate Gosselin,True,"['Kate Gosselin', 'Niecy Nash']","['Kate Gosselin', 'Niecy Nash']",8,1,8,1
10,6,7,percentage,Jake Pavelka,Jake Pavelka,Jake Pavelka,True,"['Jake Pavelka', 'Niecy Nash']","['Jake Pavelka', 'Niecy Nash']",7,1,7,1
10,7,6,percentage,Pamela Anderson,Pamela Anderson,Pamela Anderson,True,"['Pamela Anderson', 'Niecy Nash']","['Pamela Anderson', 'Niecy Nash']",4,6,4,6
10,8,5,percentage,Niecy Nash,Niecy Nash,Niecy Nash,True,"['Niecy Nash', 'Chad Ochocinco']","['Niecy Nash', 'Chad Ochocinco']",5,1,5,1
10,9,4,percentage,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,True,"['Chad Ochocinco', 'Erin Andrews']","['Chad Ochocinco', 'Erin Andrews']",4,1,4,1
11,1,12,percentage,David Hasselhoff,David Hasselhoff,David Hasselhoff,True,"['David Hasselhoff', 'Michael Bolton']","['David Hasselhoff', 'Margaret Cho']",10,12,10,12
11,2,11,percentage,Michael Bolton,Michael Bolton,Michael Bolton,True,"['Michael Bolton', 'Margaret Cho']","['Michael Bolton', 'Margaret Cho']",11,1,11,1
11,3,10,percentage,Margaret Cho,Margaret Cho,Margaret Cho,True,"['Margaret Cho', 'Bristol Palin']","['Margaret Cho', 'Bristol Palin']",10,1,10,1
11,4,9,percentage,The Situation,The Situation,The Situation,True,"['The Situation', 'Bristol Palin']","['The Situation', 'Bristol Palin']",9,1,9,1
11,5,8,percentage,Florence Henderson,Florence Henderson,Florence Henderson,True,"['Florence Henderson', 'Bristol Palin']","['Florence Henderson', 'Bristol Palin']",6,8,6,8
11,6,7,percentage,Audrina Patridge,Audrina Patridge,Audrina Patridge,True,"['Audrina Patridge', 'Bristol Palin']","['Audrina Patridge', 'Kurt Warner']",2,7,2,7
11,7,6,percentage,Rick Fox,Rick Fox,Rick Fox,True,"['Rick Fox', 'Bristol Palin']","['Rick Fox', 'Bristol Palin']",4,6,4,6
11,8,5,percentage,Kurt Warner,Kurt Warner,Kurt Warner,True,"['Kurt Warner', 'Bristol Palin']","['Kurt Warner', 'Bristol Palin']",4,5,4,5
11,9,4,percentage,Brandy,Brandy,Brandy,True,"['Brandy', 'Bristol Palin']","['Brandy', 'Bristol Palin']",3,4,3,4
12,2,11,percentage,Mike Catherwood,Mike Catherwood,Mike Catherwood,True,"['Mike Catherwood', 'Petra Nemcova']","['Mike Catherwood', 'Sugar Ray Leonard']",9,11,9,11
12,3,10,percentage,Wendy Williams,Wendy Williams,Wendy Williams,True,"['Wendy Williams', 'Romeo']","['Wendy Williams', 'Romeo']",10,1,10,1
12,4,9,percentage,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,True,"['Sugar Ray Leonard', 'Kendra Wilkinson']","['Sugar Ray Leonard', 'Kendra Wilkinson']",8,9,8,9
12,5,8,percentage,Petra Nemcova,Petra Nemcova,Petra Nemcova,True,"['Petra Nemcova', 'Kirstie Alley']","['Petra Nemcova', 'Ralph Macchio']",6,8,6,8
12,6,7,percentage,Chris Jericho,Chris Jericho,Chris Jericho,True,"['Chris Jericho', 'Ralph Macchio']","['Chris Jericho', 'Ralph Macchio']",7,1,7,1
12,7,6,percentage,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,True,"['Kendra Wilkinson', 'Romeo']","['Kendra Wilkinson', 'Kirstie Alley']",4,6,4,6
12,8,5,percentage,Romeo,Romeo,Romeo,True,"['Romeo', 'Ralph Macchio']","['Romeo', 'Ralph Macchio']",4,5,4,5
12,9,4,percentage,Ralph Macchio,Ralph Macchio,Ralph Macchio,True,"['Ralph Macchio', 'Kirstie Alley']","['Ralph Macchio', 'Kirstie Alley']",4,1,4,1
13,1,12,percentage,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),True,"['Metta World Peace (Ron)', 'Elisabetta Canalis']","['Metta World Peace (Ron)', 'Elisabetta Canalis']",12,1,12,1
13,2,11,percentage,Elisabetta Canalis,Elisabetta Canalis,Elisabetta Canalis,True,"['Elisabetta Canalis', 'Hope Solo']","['Elisabetta Canalis', 'Chaz Bono']",4,11,4,11
13,3,10,percentage,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,True,"['Kristin Cavallari', 'Nancy Grace']","['Kristin Cavallari', 'Nancy Grace']",4,10,4,10
13,4,9,percentage,Chynna Phillips,Chynna Phillips,Chynna Phillips,True,"['Chynna Phillips', 'Carson Kressley']","['Chynna Phillips', 'Carson Kressley']",6,9,6,9
13,5,8,percentage,Carson Kressley,Carson Kressley,Carson Kressley,True,"['Carson Kressley', 'Chaz Bono']","['Carson Kressley', 'Chaz Bono']",8,1,8,1
13,6,7,percentage,Chaz Bono,Chaz Bono,Chaz Bono,True,"['Chaz Bono', 'Hope Solo']","['Chaz Bono', 'Hope Solo']",7,1,7,1
13,7,6,percentage,David Arquette,David Arquette,David Arquette,True,"['David Arquette', 'Nancy Grace']","['David Arquette', 'Nancy Grace']",5,6,5,6
13,8,5,percentage,Nancy Grace,Nancy Grace,Nancy Grace,True,"['Nancy Grace', 'Rob Kardashian']","['Nancy Grace', 'Rob Kardashian']",5,1,5,1
13,9,4,percentage,Hope Solo,Hope Solo,Hope Solo,True,"['Hope Solo', 'J.R. Martinez']","['Hope Solo', 'J.R. Martinez']",4,1,4,1
14,2,12,percentage,Martina Navratilova,Martina Navratilova,Martina Navratilova,True,"['Martina Navratilova', 'Gladys Knight']","['Martina Navratilova', 'Gladys Knight']",12,1,12,1
14,3,11,percentage,Jack Wagner,Jack Wagner,Jack Wagner,True,"['Jack Wagner', 'Roshon Fegan']","['Jack Wagner', 'Sherri Sheperd']",7,11,7,11
14,4,10,percentage,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,True,"['Sherri Sheperd', 'Gladys Knight']","['Sherri Sheperd', 'Gladys Knight']",9,10,9,10
14,5,9,percentage,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,True,"['Gavin DeGraw', 'Melissa Gilbert']","['Gavin DeGraw', 'Melissa Gilbert']",9,1,9,1
14,6,8,percentage,Gladys Knight,Gladys Knight,Gladys Knight,True,"['Gladys Knight', 'Roshon Fegan']","['Gladys Knight', 'Roshon Fegan']",8,1,8,1
14,7,7,percentage,Jaleel White,Jaleel White,Jaleel White,True,"['Jaleel White', 'Melissa Gilbert']","['Jaleel White', 'Melissa Gilbert']",6,7,6,7
14,8,6,percentage,"['Roshon Fegan', 'Melissa Gilbert']",Roshon Fegan,Melissa Gilbert,False,"['Roshon Fegan', 'Maria Menounos']","['Melissa Gilbert', 'Maria Menounos']",2,6,6,1
14,9,4,percentage,Maria Menounos,William Levy,Maria Menounos,False,"['Maria Menounos', 'Katherine Jenkins']","['Maria Menounos', 'Donald Driver']",2,3,1,4
15,1,13,percentage,Pamela Anderson,Pamela Anderson,Pamela Anderson,True,"['Pamela Anderson', 'Kirstie Alley']","['Pamela Anderson', 'Kirstie Alley']",13,1,13,1
15,2,12,percentage,Joey Fatone,Joey Fatone,Joey Fatone,True,"['Joey Fatone', 'Bristol Palin']","['Joey Fatone', 'Bristol Palin']",7,12,7,12
15,3,11,percentage,"['Helio Castroneves', 'Drew Lachey']",Drew Lachey,Drew Lachey,True,"['Drew Lachey', 'Helio Castroneves']","['Drew Lachey', 'Bristol Palin']",9,10,9,10
15,4,9,percentage,Bristol Palin,Bristol Palin,Bristol Palin,True,"['Bristol Palin', 'Kirstie Alley']","['Bristol Palin', 'Kirstie Alley']",8,9,8,9
15,6,8,percentage,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,True,"['Shawn Johnson', 'Emmitt Smith']","['Sabrina Bryan', 'Kelly Monaco']",1,8,1,8
15,8,7,percentage,"['Gilles Marini', 'Kirstie Alley']",Gilles Marini,Kirstie Alley,False,"['Gilles Marini', 'Kirstie Alley']","['Kirstie Alley', 'Shawn Johnson']",2,7,7,1
15,9,5,percentage,"['Apolo Anton Ohno', 'Emmitt Smith']",Apolo Anton Ohno,Emmitt Smith,False,"['Apolo Anton Ohno', 'Kelly Monaco']","['Emmitt Smith', 'Kelly Monaco']",3,5,5,1
16,3,11,percentage,Wynonna Judd,Wynonna Judd,Wynonna Judd,True,"['Wynonna Judd', 'D. L. Hughley']","['Wynonna Judd', 'D. L. Hughley']",11,1,11,1
16,4,10,percentage,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,True,"['Lisa Vanderpump', 'Sean Lowe']","['Lisa Vanderpump', 'Victor Ortiz']",9,10,9,10
16,5,9,percentage,D. L. Hughley,D. L. Hughley,D. L. Hughley,True,"['D. L. Hughley', 'Andy Dick']","['D. L. Hughley', 'Andy Dick']",8,9,8,9
16,6,8,percentage,Victor Ortiz,Victor Ortiz,Victor Ortiz,True,"['Victor Ortiz', 'Andy Dick']","['Victor Ortiz', 'Andy Dick']",8,1,8,1
16,7,7,percentage,Andy Dick,Andy Dick,Andy Dick,True,"['Andy Dick', 'Sean Lowe']","['Andy Dick', 'Sean Lowe']",7,1,7,1
16,8,6,percentage,Sean Lowe,Sean Lowe,Sean Lowe,True,"['Sean Lowe', 'Ingo Rademacher']","['Sean Lowe', 'Ingo Rademacher']",6,1,6,1
16,9,5,percentage,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,True,"['Ingo Rademacher', 'Zendaya']","['Ingo Rademacher', 'Zendaya']",5,1,5,1
16,10,4,percentage,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,True,"['Alexandra Raisman', 'Jacoby Jones']","['Alexandra Raisman', 'Jacoby Jones']",3,4,3,4
17,2,12,percentage,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,True,"['Keyshawn Johnson', 'Bill Nye']","['Keyshawn Johnson', 'Bill Nye']",11,12,11,12
17,3,11,percentage,Bill Nye,Bill Nye,Bill Nye,True,"['Bill Nye', 'Jack Osbourne']","['Bill Nye', 'Valerie Harper']",10,11,10,11
17,4,10,percentage,Valerie Harper,Valerie Harper,Valerie Harper,True,"['Valerie Harper', 'Bill Engvall']","['Valerie Harper', 'Brant Daugherty']",10,1,10,1
17,5,9,percentage,Christina Milian,Leah Remini,Christina Milian,False,"['Christina Milian', 'Leah Remini']","['Christina Milian', 'Leah Remini']",9,1,1,9
17,7,8,percentage,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",True,"['Nicole ""Snooki"" Polizzi', 'Bill Engvall']","['Nicole ""Snooki"" Polizzi', 'Bill Engvall']",5,8,5,8
17,8,7,percentage,Brant Daugherty,Brant Daugherty,Brant Daugherty,True,"['Brant Daugherty', 'Elizabeth Berkley Lauren']","['Brant Daugherty', 'Elizabeth Berkley Lauren']",5,7,5,7
17,9,6,percentage,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True,"['Elizabeth Berkley Lauren', 'Bill Engvall']","['Elizabeth Berkley Lauren', 'Bill Engvall']",2,6,2,6
17,10,5,percentage,Leah Remini,Leah Remini,Leah Remini,True,"['Leah Remini', 'Bill Engvall']","['Leah Remini', 'Bill Engvall']",4,5,4,5
17,11,4,percentage,Bill Engvall,Bill Engvall,Bill Engvall,True,"['Bill Engvall', 'Jack Osbourne']","['Bill Engvall', 'Jack Osbourne']",4,1,4,1
18,2,11,percentage,Sean Avery,Sean Avery,Sean Avery,True,"['Sean Avery', 'Billy Dee Williams']","['Sean Avery', 'Billy Dee Williams']",7,11,7,11
18,5,9,percentage,Cody Simpson,Cody Simpson,Cody Simpson,True,"['Cody Simpson', 'Drew Carey']","['Cody Simpson', 'Drew Carey']",8,9,8,9
18,6,8,percentage,Drew Carey,Drew Carey,Drew Carey,True,"['Drew Carey', 'NeNe Leakes']","['Drew Carey', 'Candace Cameron Bure']",7,8,7,8
18,7,7,percentage,NeNe Leakes,NeNe Leakes,NeNe Leakes,True,"['NeNe Leakes', 'James Maslow']","['NeNe Leakes', 'James Maslow']",7,1,7,1
18,8,6,percentage,Danica McKellar,Danica McKellar,Danica McKellar,True,"['Danica McKellar', 'Meryl Davis']","['Danica McKellar', 'James Maslow']",3,6,3,6
18,9,5,percentage,Charlie White,Charlie White,Charlie White,True,"['Charlie White', 'Candace Cameron Bure']","['Charlie White', 'Candace Cameron Bure']",3,5,3,5
18,10,4,percentage,James Maslow,James Maslow,James Maslow,True,"['James Maslow', 'Candace Cameron Bure']","['James Maslow', 'Candace Cameron Bure']",3,4,3,4
19,1,13,percentage,Lolo Jones,Lolo Jones,Lolo Jones,True,"['Lolo Jones', 'Betsey Johnson']","['Lolo Jones', 'Betsey Johnson']",12,13,12,13
19,2,12,percentage,Tavis Smiley,Tavis Smiley,Tavis Smiley,True,"['Tavis Smiley', 'Michael Waltrip']","['Tavis Smiley', 'Michael Waltrip']",8,12,8,12
19,3,11,percentage,Randy Couture,Randy Couture,Randy Couture,True,"['Randy Couture', 'Michael Waltrip']","['Randy Couture', 'Michael Waltrip']",11,1,11,1
19,4,10,percentage,Betsey Johnson,Betsey Johnson,Betsey Johnson,True,"['Betsey Johnson', 'Michael Waltrip']","['Betsey Johnson', 'Jonathan Bennett']",6,10,6,10
19,6,9,percentage,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,True,"['Jonathan Bennett', 'Michael Waltrip']","['Jonathan Bennett', 'Antonio Sabato Jr.']",5,9,5,9
19,7,8,percentage,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,True,"['Antonio Sabato Jr.', 'Michael Waltrip']","['Antonio Sabato Jr.', 'Michael Waltrip']",7,8,7,8
19,8,7,percentage,Michael Waltrip,Michael Waltrip,Michael Waltrip,True,"['Michael Waltrip', 'Tommy Chong']","['Michael Waltrip', 'Tommy Chong']",7,1,7,1
19,9,6,percentage,Lea Thompson,Lea Thompson,Lea Thompson,True,"['Lea Thompson', 'Tommy Chong']","['Lea Thompson', 'Tommy Chong']",5,6,5,6
19,10,5,percentage,Tommy Chong,Tommy Chong,Tommy Chong,True,"['Tommy Chong', 'Sadie Robertson']","['Tommy Chong', 'Sadie Robertson']",5,1,5,1
19,11,4,percentage,Bethany Mota,Bethany Mota,Bethany Mota,True,"['Bethany Mota', 'Janel Parrish']","['Bethany Mota', 'Janel Parrish']",4,1,4,1
20,2,12,percentage,Redfoo,Redfoo,Redfoo,True,"['Redfoo', 'Chris Soules']","['Redfoo', 'Charlotte McKinney']",5,12,5,12
