season,week,judge_tiebreaker_choice,pure_fan_choice,actual_eliminated,tiebreaker_changes_result
14,8,Melissa Gilbert,Melissa Gilbert,Melissa Gilbert,False
14,9,Katherine Jenkins,Maria Menounos,Maria Menounos,True
14,10,Donald Driver,Donald Driver,,False
15,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,False
15,2,Bristol Palin,Joey Fatone,Joey Fatone,True
15,3,Bristol Palin,Drew Lachey,Drew Lachey,True
15,4,Kirstie Alley,Bristol Palin,Bristol Palin,True
15,5,Kelly Monaco,Kelly Monaco,,False
15,6,Kelly Monaco,Sabrina Bryan,Sabrina Bryan,True
15,7,Kirstie Alley,Kirstie Alley,,False
15,8,Kirstie Alley,Kirstie Alley,Kirstie Alley,False
15,9,Emmitt Smith,Emmitt Smith,Emmitt Smith,False
15,10,Shawn Johnson,Shawn Johnson,,False
16,1,D. L. Hughley,D. L. Hughley,,False
16,2,Dorothy Hamill,Dorothy Hamill,Dorothy Hamill,False
16,3,Wynonna Judd,Wynonna Judd,Wynonna Judd,False
16,4,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,False
16,5,Andy Dick,Andy Dick,D. L. Hughley,False
16,6,Victor Ortiz,Victor Ortiz,Victor Ortiz,False
16,7,Andy Dick,Andy Dick,Andy Dick,False
16,8,Sean Lowe,Sean Lowe,Sean Lowe,False
16,9,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,False
16,10,Jacoby Jones,Alexandra Raisman,Alexandra Raisman,True
17,1,Bill Nye,Bill Nye,,False
17,2,Bill Nye,Keyshawn Johnson,Keyshawn Johnson,True
17,3,Bill Nye,Bill Nye,Bill Nye,False
17,4,Valerie Harper,Valerie Harper,Valerie Harper,False
17,5,Leah Remini,Christina Milian,Christina Milian,True
17,6,Bill Engvall,Bill Engvall,,False
17,7,Bill Engvall,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",True
17,8,Bill Engvall,Brant Daugherty,Brant Daugherty,True
17,9,Bill Engvall,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,True
17,10,Bill Engvall,Leah Remini,Leah Remini,True
17,11,Bill Engvall,Bill Engvall,Bill Engvall,False
18,1,Billy Dee Williams,Diana Nyad,Diana Nyad,True
18,2,Billy Dee Williams,Billy Dee Williams,Billy Dee Williams,False
18,3,Drew Carey,Drew Carey,,False
18,4,Candace Cameron Bure,Candace Cameron Bure,,False
18,5,Drew Carey,Cody Simpson,Cody Simpson,True
18,6,Candace Cameron Bure,Candace Cameron Bure,Drew Carey,False
18,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,False
18,8,James Maslow,Danica McKellar,Danica McKellar,True
18,9,Candace Cameron Bure,Charlie White,Charlie White,True
18,10,Candace Cameron Bure,James Maslow,James Maslow,True
19,1,Betsey Johnson,Lolo Jones,Lolo Jones,True
19,2,Michael Waltrip,Tavis Smiley,Tavis Smiley,True
19,3,Randy Couture,Randy Couture,Randy Couture,False
19,4,Jonathan Bennett,Betsey Johnson,Betsey Johnson,True
19,5,Michael Waltrip,Michael Waltrip,,False
19,6,Antonio Sabato Jr.,Antonio Sabato Jr.,Jonathan Bennett,False
19,7,Michael Waltrip,Antonio Sabato Jr.,Antonio Sabato Jr.,True
19,8,Michael Waltrip,Michael Waltrip,Michael Waltrip,False
19,9,Tommy Chong,Lea Thompson,Lea Thompson,True
19,10,Tommy Chong,Tommy Chong,Tommy Chong,False
19,11,Bethany Mota,Bethany Mota,Bethany Mota,False
20,1,Charlotte McKinney,Charlotte McKinney,,False
20,2,Chris Soules,Redfoo,Redfoo,True
20,3,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,False
20,4,Chris Soules,Michael Sam,Michael Sam,True
20,5,Robert Herjavec,Suzanne Somers,Suzanne Somers,True
20,6,Robert Herjavec,Patti LaBelle,Patti LaBelle,True
20,7,Robert Herjavec,Robert Herjavec,Willow Shields,False
20,8,Robert Herjavec,Robert Herjavec,Robert Herjavec,False
20,9,Noah Galloway,Nastia Liukin,Nastia Liukin,True
20,10,Noah Galloway,Noah Galloway,,False
21,1,Kim Zolciak-Biermann,Kim Zolciak-Biermann,,False
21,2,Chaka Khan,Chaka Khan,Chaka Khan,False
21,3,Paula Deen,Paula Deen,,False
21,4,Gary Busey,Gary Busey,Gary Busey,False
21,5,Paula Deen,Paula Deen,,False
21,6,Paula Deen,Paula Deen,Paula Deen,False
21,7,Alek Skarlatos,Hayes Grier,Hayes Grier,True
21,8,Andy Grammer,Andy Grammer,Andy Grammer,False
21,9,Tamar Braxton,Tamar Braxton,Tamar Braxton,False
21,10,Nick Carter,Nick Carter,,False
21,11,Alek Skarlatos,Carlos PenaVega,Carlos PenaVega,True
22,1,Geraldo Rivera,Geraldo Rivera,,False
22,2,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,False
22,3,Mischa Barton,Mischa Barton,Mischa Barton,False
22,4,Doug Flutie,Marla Maples,Marla Maples,True
22,5,Antonio Brown,Antonio Brown,,False
22,6,Doug Flutie,Doug Flutie,Doug Flutie,False
22,7,Jodie Sweetin,Kim Fields,Kim Fields,True
22,8,Wanya Morris,Jodie Sweetin,Jodie Sweetin,True
22,9,Antonio Brown,Antonio Brown,Antonio Brown,False
22,10,Ginger Zee,Ginger Zee,,False
23,1,Rick Perry,Rick Perry,,False
23,2,Rick Perry,Jake T. Austin,Jake T. Austin,True
23,3,Rick Perry,Rick Perry,Rick Perry,False
23,4,Babyface,Babyface,Babyface,False
23,5,Amber Rose,Amber Rose,,False
23,6,Amber Rose,Amber Rose,Amber Rose,False
23,7,Marilu Henner,Maureen McCormick,Maureen McCormick,True
23,8,Marilu Henner,Ryan Lochte,Ryan Lochte,True
23,9,James Hinchcliffe,James Hinchcliffe,Marilu Henner,False
23,10,Calvin Johnson Jr.,Terra Jole,Terra Jole,True
23,11,Jana Kramer,Jana Kramer,Jana Kramer,False
24,1,Chris Kattan,Chris Kattan,,False
24,2,Chris Kattan,Chris Kattan,Chris Kattan,False
24,3,Bonner Bolton,Bonner Bolton,Charo,False
24,4,Mr. T,Mr. T,Mr. T,False
24,5,David Ross,Erika Jayne,Erika Jayne,True
24,6,Nick Viall,David Ross,Heather Morris,True
24,7,Bonner Bolton,Nancy Kerrigan,Nancy Kerrigan,True
24,8,Bonner Bolton,Bonner Bolton,Bonner Bolton,False
24,9,David Ross,Simone Biles,Simone Biles,True
24,10,David Ross,David Ross,,False
25,1,Barbara Corcoran,Barbara Corcoran,,False
25,2,Barbara Corcoran,Barbara Corcoran,Barbara Corcoran,False
25,3,Sasha Pieterse,Sasha Pieterse,,False
25,4,Nick Lachey,Derek Fisher,Derek Fisher,True
25,5,Nick Lachey,Sasha Pieterse,Sasha Pieterse,True
25,6,Nick Lachey,Nick Lachey,Nick Lachey,False
25,7,Nikki Bella,Nikki Bella,Nikki Bella,False
25,8,Drew Scott,Terrell Owens,Terrell Owens,True
25,9,Drew Scott,Victoria Arlen,Victoria Arlen,True
25,10,Drew Scott,Drew Scott,Drew Scott,False
26,1,Kareem Abdul-Jabbar,Jamie Anderson,Jamie Anderson,True
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,False
26,3,Jennie Finch Daigle,Jennie Finch Daigle,Jennie Finch Daigle,False
26,4,Tonya Harding,Tonya Harding,,False
27,1,Joe Amabile,Nikki Glaser,Nikki Glaser,True
27,2,Joe Amabile,Danelle Umstead,Danelle Umstead,True
27,3,Joe Amabile,Nancy McKeon,Nancy McKeon,True
27,4,Joe Amabile,Tinashe,Tinashe,True
27,5,Joe Amabile,Joe Amabile,,False
27,6,John Schneider,Mary Lou Retton,Mary Lou Retton,True
27,7,Joe Amabile,DeMarcus Ware,DeMarcus Ware,True
27,8,Bobby Bones,Joe Amabile,Joe Amabile,True
27,9,Bobby Bones,Alexis Ren,Alexis Ren,True
28,1,Lamar Odom,Lamar Odom,,False
28,2,Lamar Odom,Lamar Odom,Mary Wilson,False
28,3,Lamar Odom,Lamar Odom,,False
28,4,Lamar Odom,Lamar Odom,Lamar Odom,False
28,5,Sean Spicer,Sean Spicer,,False
28,6,Sean Spicer,Sean Spicer,Sailor Brinkley-Cook,False
28,7,Sean Spicer,Sean Spicer,Karamo Brown,False
28,8,Sean Spicer,Sean Spicer,Kate Flannery,False
28,9,Sean Spicer,Sean Spicer,Sean Spicer,False
28,10,James Van Der Beek,James Van Der Beek,James Van Der Beek,False
28,11,Lauren Alaina,Lauren Alaina,Lauren Alaina,False
29,1,Carole Baskin,Carole Baskin,,False
29,2,Charles Oakley,Charles Oakley,Charles Oakley,False
29,3,Carole Baskin,Carole Baskin,Carole Baskin,False
29,4,Anne Heche,Anne Heche,Anne Heche,False
29,5,Chrishell Stause,Chrishell Stause,Jesse Metcalfe,False
29,6,Skai Jackson,Skai Jackson,Veron Davis,False
29,7,Monica Aldama,Monica Aldama,Monica Aldama,False
29,8,Nelly,Nelly,Chrishell Stause,False
29,9,Nelly,Nelly,AJ McLean,False
29,10,Nelly,Nelly,Johnny Weir,False
29,11,Nelly,Nelly,Justina Machado,False
30,1,Martin Kove,Martin Kove,,False
30,2,Martin Kove,Martin Kove,Martin Kove,False
30,3,Cody Rigsby,Cody Rigsby,Christine Chiu,False
30,4,Brian Austin Green,Brian Austin Green,Brian Austin Green,False
30,5,Iman Shumpert,Iman Shumpert,Melanie C,False
30,6,Kenya Moore,Kenya Moore,Kenya Moore,False
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",False
30,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,False
30,9,Cody Rigsby,Cody Rigsby,Melora Hardin,False
30,10,Cody Rigsby,Cody Rigsby,Amanda Kloots,False
31,1,Vinny Guadagnino,Vinny Guadagnino,Jason Lewis,False
31,2,Cheryl Ladd,Cheryl Ladd,Teresa Giudice,False
31,3,Vinny Guadagnino,Vinny Guadagnino,Cheryl Ladd,False
31,4,Sam Champion,Sam Champion,Sam Champion,False
31,5,Vinny Guadagnino,Vinny Guadagnino,Joseph Baena,False
31,6,Vinny Guadagnino,Vinny Guadagnino,Jessie James Decker,False
31,7,Vinny Guadagnino,Vinny Guadagnino,Jordin Sparks,False
31,8,Vinny Guadagnino,Vinny Guadagnino,Vinny Guadagnino,False
31,9,Trevor Donovan,Trevor Donovan,Trevor Donovan,False
31,10,Shangela,Shangela,Shangela,False
32,1,Harry Jowsey,Harry Jowsey,Matt Walsh,False
32,2,Mauricio Umansky,Mauricio Umansky,Jamie Lynn Spears,False
32,3,Tyson Beckford,Tyson Beckford,Tyson Beckford,False
32,4,Alyson Hannigan,Alyson Hannigan,Adrian Peterson,False
32,5,Harry Jowsey,Harry Jowsey,Mira Sorvino,False
32,6,Harry Jowsey,Harry Jowsey,Mauricio Umansky,False
32,7,Harry Jowsey,Harry Jowsey,Lele Pons,False
32,8,Harry Jowsey,Harry Jowsey,Barry Williams,False
32,9,Harry Jowsey,Harry Jowsey,Harry Jowsey,False
32,10,Alyson Hannigan,Alyson Hannigan,,False
32,11,Alyson Hannigan,Alyson Hannigan,Alyson Hannigan,False
33,1,Eric Roberts,Eric Roberts,,False
33,2,Eric Roberts,Eric Roberts,Anna Delvey,False
33,3,Reginald VelJohnson,Reginald VelJohnson,Reginald VelJohnson,False
33,4,Dwight Howard ,Dwight Howard ,Brooks Nader,False
33,5,Dwight Howard ,Dwight Howard ,Phaedra Parks,False
33,6,Ilona Maher,Ilona Maher,Jenn Tran,False
33,7,Dwight Howard ,Dwight Howard ,Dwight Howard ,False
33,8,Stephen Nedoroscik,Stephen Nedoroscik,,False
33,9,Danny Amendola,Danny Amendola,Danny Amendola,False
34,1,Andy Richter,Andy Richter,,False
34,2,Corey Feldman,Corey Feldman,Corey Feldman,False
34,3,Andy Richter,Andy Richter,Lauren Jauregui,False
34,4,Andy Richter,Andy Richter,Hilaria Baldwin,False
34,5,Andy Richter,Andy Richter,,False
34,6,Andy Richter,Andy Richter,Scott Hoying,False
34,7,Andy Richter,Andy Richter,Jen Affleck,False
34,8,Andy Richter,Andy Richter,Danielle Fishel,False
34,9,Andy Richter,Andy Richter,Andy Richter,False
34,10,Dylan Efron,Dylan Efron,Whitney Leavitt,False
34,11,Elaine Hendrix,Elaine Hendrix,Elaine Hendrix,False
