season,week,rank_eliminated,pct_eliminated,actual_eliminated,same_method_result,n_contestants
28,2,Lamar Odom,Lamar Odom,Mary Wilson,True,12
28,3,Lamar Odom,Lamar Odom,,True,10
28,4,Lamar Odom,Lamar Odom,Lamar Odom,True,10
28,5,Sean Spicer,Sean Spicer,,True,9
28,6,Sean Spicer,Sean Spicer,Sailor Brinkley-Cook,True,9
28,7,Sean Spicer,Sean Spicer,Karamo Brown,True,8
28,8,Sean Spicer,Sean Spicer,Kate Flannery,True,7
28,9,Sean Spicer,Sean Spicer,Sean Spicer,True,6
28,10,James Van Der Beek,James Van Der Beek,James Van Der Beek,True,5
28,11,Lauren Alaina,Lauren Alaina,Lauren Alaina,True,4
29,1,Carole Baskin,Carole Baskin,,True,15
29,2,Charles Oakley,Charles Oakley,Charles Oakley,True,15
29,3,Carole Baskin,Carole Baskin,Carole Baskin,True,14
29,4,Anne Heche,Anne Heche,Anne Heche,True,13
29,5,Chrishell Stause,Chrishell Stause,Jesse Metcalfe,True,12
29,6,Skai Jackson,Skai Jackson,Veron Davis,True,11
29,7,Monica Aldama,Monica Aldama,Jeannie Mai,True,10
29,8,Nelly,Nelly,Chrishell Stause,True,8
29,9,Nelly,Nelly,AJ McLean,True,7
29,10,Nelly,Nelly,Johnny Weir,True,6
29,11,Nelly,Nelly,Justina Machado,True,4
30,1,Martin Kove,Martin Kove,,True,15
30,2,Martin Kove,Martin Kove,Martin Kove,True,15
30,3,Cody Rigsby,Cody Rigsby,Christine Chiu,True,14
30,4,Brian Austin Green,Brian Austin Green,Brian Austin Green,True,13
30,5,Iman Shumpert,Iman Shumpert,Melanie C,True,11
30,6,Kenya Moore,Kenya Moore,Kenya Moore,True,10
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,9
30,8,Jimmie Allen,Jimmie Allen,Jimmie Allen,True,8
30,9,Cody Rigsby,Cody Rigsby,Melora Hardin,True,6
30,10,Cody Rigsby,Cody Rigsby,Amanda Kloots,True,4
31,1,Vinny Guadagnino,Vinny Guadagnino,Jason Lewis,True,16
31,2,Cheryl Ladd,Cheryl Ladd,Teresa Giudice,True,15
31,3,Vinny Guadagnino,Vinny Guadagnino,Cheryl Ladd,True,14
31,4,Sam Champion,Sam Champion,Sam Champion,True,13
31,5,Vinny Guadagnino,Vinny Guadagnino,Joseph Baena,True,12
31,6,Vinny Guadagnino,Vinny Guadagnino,Jessie James Decker,True,10
31,7,Vinny Guadagnino,Vinny Guadagnino,Jordin Sparks,True,9
31,8,Vinny Guadagnino,Vinny Guadagnino,Heidi D'Amelio,True,8
31,9,Trevor Donovan,Trevor Donovan,Daniel Durant,True,6
31,10,Shangela,Shangela,Shangela,True,4
32,1,Harry Jowsey,Harry Jowsey,Matt Walsh,True,14
32,2,Mauricio Umansky,Mauricio Umansky,Jamie Lynn Spears,True,13
32,3,Tyson Beckford,Tyson Beckford,Tyson Beckford,True,12
32,4,Alyson Hannigan,Alyson Hannigan,Adrian Peterson,True,11
32,5,Harry Jowsey,Harry Jowsey,Mira Sorvino,True,10
32,6,Harry Jowsey,Harry Jowsey,Mauricio Umansky,True,9
32,7,Harry Jowsey,Harry Jowsey,Lele Pons,True,8
32,8,Harry Jowsey,Harry Jowsey,Barry Williams,True,7
32,9,Harry Jowsey,Harry Jowsey,Harry Jowsey,True,6
32,10,Alyson Hannigan,Alyson Hannigan,,True,5
32,11,Alyson Hannigan,Alyson Hannigan,Alyson Hannigan,True,5
33,1,Eric Roberts,Eric Roberts,,True,13
33,2,Eric Roberts,Eric Roberts,Anna Delvey,True,13
33,3,Reginald VelJohnson,Reginald VelJohnson,Eric Roberts,True,11
33,4,Dwight Howard ,Dwight Howard ,Brooks Nader,True,9
33,5,Dwight Howard ,Dwight Howard ,Phaedra Parks,True,8
33,6,Ilona Maher,Ilona Maher,Jenn Tran,True,7
33,7,Dwight Howard ,Dwight Howard ,Dwight Howard ,True,6
33,8,Stephen Nedoroscik,Stephen Nedoroscik,,True,5
33,9,Danny Amendola,Danny Amendola,Danny Amendola,True,5
34,1,Andy Richter,Andy Richter,,True,14
34,2,Corey Feldman,Corey Feldman,Baron Davis,True,14
34,3,Andy Richter,Andy Richter,Lauren Jauregui,True,12
34,4,Andy Richter,Andy Richter,Hilaria Baldwin,True,11
34,5,Andy Richter,Andy Richter,,True,10
34,6,Andy Richter,Andy Richter,Scott Hoying,True,10
34,7,Andy Richter,Andy Richter,Jen Affleck,True,9
34,8,Andy Richter,Andy Richter,Danielle Fishel,True,8
34,9,Andy Richter,Andy Richter,Andy Richter,True,7
34,10,Dylan Efron,Dylan Efron,Whitney Leavitt,True,6
34,11,Elaine Hendrix,Elaine Hendrix,Dylan Efron,True,5
