season,week,celebrity_name,judge_total,judge_rank,judge_share,air_date,air_date_source,pageviews
1,9,John O'Hurley,,,,,,
1,9,Kelly Monaco,,,,,,
1,9,Rachel Hunter,,,,,,
1,9,Trista Sutter,,,,,,
1,10,Evander Holyfield,,,,,,
1,10,Joey McIntyre,,,,,,
1,10,John O'Hurley,,,,,,
1,10,Kelly Monaco,,,,,,
1,10,Rachel Hunter,,,,,,
1,10,Trista Sutter,,,,,,
1,11,Evander Holyfield,,,,,,
1,11,Joey McIntyre,,,,,,
1,11,John O'Hurley,,,,,,
1,11,Kelly Monaco,,,,,,
1,11,Rachel Hunter,,,,,,
1,11,Trista Sutter,,,,,,
2,1,Drew Lachey,24.0,1.0,0.12307692307692308,,,
2,1,George Hamilton,18.0,8.0,0.09230769230769231,,,
2,1,Giselle Fernandez,23.0,2.0,0.11794871794871795,,,
2,1,Jerry Rice,21.0,5.0,0.1076923076923077,,,
2,1,Kenny Mayne,13.0,9.0,0.06666666666666667,,,
2,1,Lisa Rinna,19.0,7.0,0.09743589743589744,,,
2,1,Master P,12.0,10.0,0.06153846153846154,,,
2,1,Stacy Keibler,22.0,4.0,0.11282051282051282,,,
2,1,Tatum O'Neal,23.0,2.0,0.11794871794871795,,,
2,1,Tia Carrere,20.0,6.0,0.10256410256410256,,,
2,2,Drew Lachey,27.0,2.0,0.135,,,
2,2,George Hamilton,22.0,5.0,0.11,,,
2,2,Giselle Fernandez,24.0,3.0,0.12,,,
2,2,Jerry Rice,23.0,4.0,0.115,,,
2,2,Kenny Mayne,0.0,10.0,0.0,,,
2,2,Lisa Rinna,20.0,7.0,0.1,,,
2,2,Master P,16.0,9.0,0.08,,,
2,2,Stacy Keibler,29.0,1.0,0.145,,,
2,2,Tatum O'Neal,17.0,8.0,0.085,,,
2,2,Tia Carrere,22.0,5.0,0.11,,,
2,3,Drew Lachey,27.0,1.0,0.14835164835164835,,,
2,3,George Hamilton,22.0,5.0,0.12087912087912088,,,
2,3,Giselle Fernandez,22.0,5.0,0.12087912087912088,,,
2,3,Jerry Rice,19.0,7.0,0.1043956043956044,,,
2,3,Kenny Mayne,0.0,9.0,0.0,,,
2,3,Lisa Rinna,25.0,4.0,0.13736263736263737,,,
2,3,Master P,14.0,8.0,0.07692307692307693,,,
2,3,Stacy Keibler,27.0,1.0,0.14835164835164835,,,
2,3,Tatum O'Neal,0.0,9.0,0.0,,,
2,3,Tia Carrere,26.0,3.0,0.14285714285714285,,,
2,4,Drew Lachey,28.0,1.0,0.17721518987341772,,,
2,4,George Hamilton,21.0,6.0,0.13291139240506328,,,
2,4,Giselle Fernandez,0.0,8.0,0.0,,,
2,4,Jerry Rice,24.0,5.0,0.1518987341772152,,,
2,4,Kenny Mayne,0.0,8.0,0.0,,,
2,4,Lisa Rinna,26.0,2.0,0.16455696202531644,,,
2,4,Master P,8.0,7.0,0.05063291139240506,,,
2,4,Stacy Keibler,26.0,2.0,0.16455696202531644,,,
2,4,Tatum O'Neal,0.0,8.0,0.0,,,
2,4,Tia Carrere,25.0,4.0,0.15822784810126583,,,
2,5,Drew Lachey,27.0,2.0,0.17880794701986755,,,
2,5,George Hamilton,24.0,4.0,0.15894039735099338,,,
2,5,Giselle Fernandez,0.0,7.0,0.0,,,
2,5,Jerry Rice,23.0,5.0,0.152317880794702,,,
2,5,Kenny Mayne,0.0,7.0,0.0,,,
2,5,Lisa Rinna,25.0,3.0,0.16556291390728478,,,
2,5,Master P,0.0,7.0,0.0,,,
2,5,Stacy Keibler,30.0,1.0,0.1986754966887417,,,
2,5,Tatum O'Neal,0.0,7.0,0.0,,,
2,5,Tia Carrere,22.0,6.0,0.1456953642384106,,,
2,6,Drew Lachey,30.0,1.0,0.22556390977443608,,,
2,6,George Hamilton,23.0,4.0,0.17293233082706766,,,
2,6,Giselle Fernandez,0.0,6.0,0.0,,,
2,6,Jerry Rice,23.0,4.0,0.17293233082706766,,,
2,6,Kenny Mayne,0.0,6.0,0.0,,,
2,6,Lisa Rinna,27.0,3.0,0.20300751879699247,,,
2,6,Master P,0.0,6.0,0.0,,,
2,6,Stacy Keibler,30.0,1.0,0.22556390977443608,,,
2,6,Tatum O'Neal,0.0,6.0,0.0,,,
2,6,Tia Carrere,0.0,6.0,0.0,,,
2,7,Drew Lachey,27.5,1.0,0.2696078431372549,,,
2,7,George Hamilton,0.0,5.0,0.0,,,
2,7,Giselle Fernandez,0.0,5.0,0.0,,,
2,7,Jerry Rice,20.5,4.0,0.20098039215686275,,,
2,7,Kenny Mayne,0.0,5.0,0.0,,,
2,7,Lisa Rinna,26.5,3.0,0.25980392156862747,,,
2,7,Master P,0.0,5.0,0.0,,,
2,7,Stacy Keibler,27.5,1.0,0.2696078431372549,,,
2,7,Tatum O'Neal,0.0,5.0,0.0,,,
2,7,Tia Carrere,0.0,5.0,0.0,,,
2,8,Drew Lachey,28.9998,1.0,0.34387291318097685,,,
2,8,George Hamilton,0.0,4.0,0.0,,,
2,8,Giselle Fernandez,0.0,4.0,0.0,,,
2,8,Jerry Rice,26.666600000000003,3.0,0.31620636785880724,,,
2,8,Kenny Mayne,0.0,4.0,0.0,,,
2,8,Lisa Rinna,0.0,4.0,0.0,,,
2,8,Master P,0.0,4.0,0.0,,,
2,8,Stacy Keibler,28.6665,2.0,0.33992071896021603,,,
2,8,Tatum O'Neal,0.0,4.0,0.0,,,
2,8,Tia Carrere,0.0,4.0,0.0,,,
2,9,Drew Lachey,,,,,,
2,9,George Hamilton,,,,,,
2,9,Giselle Fernandez,,,,,,
2,9,Jerry Rice,,,,,,
2,9,Kenny Mayne,,,,,,
2,9,Lisa Rinna,,,,,,
2,9,Master P,,,,,,
2,9,Stacy Keibler,,,,,,
2,9,Tatum O'Neal,,,,,,
2,9,Tia Carrere,,,,,,
2,10,Drew Lachey,,,,,,
2,10,George Hamilton,,,,,,
2,10,Giselle Fernandez,,,,,,
2,10,Jerry Rice,,,,,,
2,10,Kenny Mayne,,,,,,
2,10,Lisa Rinna,,,,,,
2,10,Master P,,,,,,
2,10,Stacy Keibler,,,,,,
2,10,Tatum O'Neal,,,,,,
2,10,Tia Carrere,,,,,,
2,11,Drew Lachey,,,,,,
2,11,George Hamilton,,,,,,
2,11,Giselle Fernandez,,,,,,
2,11,Jerry Rice,,,,,,
2,11,Kenny Mayne,,,,,,
2,11,Lisa Rinna,,,,,,
2,11,Master P,,,,,,
2,11,Stacy Keibler,,,,,,
2,11,Tatum O'Neal,,,,,,
2,11,Tia Carrere,,,,,,
3,1,Emmitt Smith,24.0,2.0,0.11320754716981132,,,
3,1,Harry Hamlin,17.0,8.0,0.08018867924528301,,,
3,1,Jerry Springer,16.0,9.0,0.07547169811320754,,,
3,1,Joey Lawrence,21.0,5.0,0.09905660377358491,,,
3,1,Mario Lopez,26.0,1.0,0.12264150943396226,,,
3,1,Monique Coleman,19.0,6.0,0.08962264150943396,,,
3,1,Sara Evans,15.0,10.0,0.07075471698113207,,,
3,1,Shanna Moakler,18.0,7.0,0.08490566037735849,,,
3,1,Tucker Carlson,12.0,11.0,0.05660377358490566,,,
3,1,Vivica A. Fox,22.0,3.0,0.10377358490566038,,,
3,1,Willa Ford,22.0,3.0,0.10377358490566038,,,
3,2,Emmitt Smith,24.0,3.0,0.10434782608695652,,,
3,2,Harry Hamlin,21.0,7.0,0.09130434782608696,,,
3,2,Jerry Springer,19.0,10.0,0.08260869565217391,,,
3,2,Joey Lawrence,29.0,1.0,0.12608695652173912,,,
3,2,Mario Lopez,21.0,7.0,0.09130434782608696,,,
3,2,Monique Coleman,26.0,2.0,0.11304347826086956,,,
3,2,Sara Evans,21.0,7.0,0.09130434782608696,,,
3,2,Shanna Moakler,22.0,6.0,0.09565217391304348,,,
3,2,Tucker Carlson,0.0,11.0,0.0,,,
3,2,Vivica A. Fox,24.0,3.0,0.10434782608695652,,,
3,2,Willa Ford,23.0,5.0,0.1,,,
3,3,Emmitt Smith,19.0,9.0,0.09178743961352658,,,
3,3,Harry Hamlin,22.0,4.0,0.10628019323671498,,,
3,3,Jerry Springer,21.0,8.0,0.10144927536231885,,,
3,3,Joey Lawrence,22.0,4.0,0.10628019323671498,,,
3,3,Mario Lopez,22.0,4.0,0.10628019323671498,,,
3,3,Monique Coleman,27.0,1.0,0.13043478260869565,,,
3,3,Sara Evans,25.0,3.0,0.12077294685990338,,,
3,3,Shanna Moakler,0.0,10.0,0.0,,,
3,3,Tucker Carlson,0.0,10.0,0.0,,,
3,3,Vivica A. Fox,27.0,1.0,0.13043478260869565,,,
3,3,Willa Ford,22.0,4.0,0.10628019323671498,,,
3,4,Emmitt Smith,24.0,4.0,0.12121212121212122,,,
3,4,Harry Hamlin,0.0,9.0,0.0,,,
3,4,Jerry Springer,22.0,7.0,0.1111111111111111,,,
3,4,Joey Lawrence,27.0,3.0,0.13636363636363635,,,
3,4,Mario Lopez,29.0,1.0,0.14646464646464646,,,
3,4,Monique Coleman,24.0,4.0,0.12121212121212122,,,
3,4,Sara Evans,20.0,8.0,0.10101010101010101,,,
3,4,Shanna Moakler,0.0,9.0,0.0,,,
3,4,Tucker Carlson,0.0,9.0,0.0,,,
3,4,Vivica A. Fox,24.0,4.0,0.12121212121212122,,,
3,4,Willa Ford,28.0,2.0,0.1414141414141414,,,
3,5,Emmitt Smith,27.0,1.0,0.14917127071823205,,,
3,5,Harry Hamlin,0.0,8.0,0.0,,,
3,5,Jerry Springer,24.0,6.0,0.13259668508287292,,,
3,5,Joey Lawrence,25.0,5.0,0.13812154696132597,,,
3,5,Mario Lopez,27.0,1.0,0.14917127071823205,,,
3,5,Monique Coleman,27.0,1.0,0.14917127071823205,,,
3,5,Sara Evans,24.0,6.0,0.13259668508287292,,,
3,5,Shanna Moakler,0.0,8.0,0.0,,,
3,5,Tucker Carlson,0.0,8.0,0.0,,,
3,5,Vivica A. Fox,0.0,8.0,0.0,,,
3,5,Willa Ford,27.0,1.0,0.14917127071823205,,,
3,6,Emmitt Smith,25.0,2.0,0.211864406779661,,,
3,6,Harry Hamlin,0.0,6.0,0.0,,,
3,6,Jerry Springer,18.0,5.0,0.15254237288135594,,,
3,6,Joey Lawrence,24.0,3.0,0.2033898305084746,,,
3,6,Mario Lopez,28.0,1.0,0.23728813559322035,,,
3,6,Monique Coleman,23.0,4.0,0.19491525423728814,,,
3,6,Sara Evans,0.0,6.0,0.0,,,
3,6,Shanna Moakler,0.0,6.0,0.0,,,
3,6,Tucker Carlson,0.0,6.0,0.0,,,
3,6,Vivica A. Fox,0.0,6.0,0.0,,,
3,6,Willa Ford,0.0,6.0,0.0,,,
3,7,Emmitt Smith,28.5,1.0,0.2111111111111111,,,
3,7,Harry Hamlin,0.0,6.0,0.0,,,
3,7,Jerry Springer,23.0,5.0,0.17037037037037037,,,
3,7,Joey Lawrence,28.5,1.0,0.2111111111111111,,,
3,7,Mario Lopez,28.0,3.0,0.2074074074074074,,,
3,7,Monique Coleman,27.0,4.0,0.2,,,
3,7,Sara Evans,0.0,6.0,0.0,,,
3,7,Shanna Moakler,0.0,6.0,0.0,,,
3,7,Tucker Carlson,0.0,6.0,0.0,,,
3,7,Vivica A. Fox,0.0,6.0,0.0,,,
3,7,Willa Ford,0.0,6.0,0.0,,,
3,8,Emmitt Smith,27.0,2.0,0.24770642201834864,,,
3,8,Harry Hamlin,0.0,5.0,0.0,,,
3,8,Jerry Springer,0.0,5.0,0.0,,,
3,8,Joey Lawrence,27.0,2.0,0.24770642201834864,,,
3,8,Mario Lopez,28.5,1.0,0.26146788990825687,,,
3,8,Monique Coleman,26.5,4.0,0.24311926605504589,,,
3,8,Sara Evans,0.0,5.0,0.0,,,
3,8,Shanna Moakler,0.0,5.0,0.0,,,
3,8,Tucker Carlson,0.0,5.0,0.0,,,
3,8,Vivica A. Fox,0.0,5.0,0.0,,,
3,8,Willa Ford,0.0,5.0,0.0,,,
3,9,Emmitt Smith,29.5,1.0,0.3333333333333333,,,
3,9,Harry Hamlin,0.0,4.0,0.0,,,
3,9,Jerry Springer,0.0,4.0,0.0,,,
3,9,Joey Lawrence,29.5,1.0,0.3333333333333333,,,
3,9,Mario Lopez,29.5,1.0,0.3333333333333333,,,
3,9,Monique Coleman,0.0,4.0,0.0,,,
3,9,Sara Evans,0.0,4.0,0.0,,,
3,9,Shanna Moakler,0.0,4.0,0.0,,,
3,9,Tucker Carlson,0.0,4.0,0.0,,,
3,9,Vivica A. Fox,0.0,4.0,0.0,,,
3,9,Willa Ford,0.0,4.0,0.0,,,
3,10,Emmitt Smith,29.666600000000003,1.0,0.5,,,
3,10,Harry Hamlin,0.0,3.0,0.0,,,
3,10,Jerry Springer,0.0,3.0,0.0,,,
3,10,Joey Lawrence,0.0,3.0,0.0,,,
3,10,Mario Lopez,29.666600000000003,1.0,0.5,,,
3,10,Monique Coleman,0.0,3.0,0.0,,,
3,10,Sara Evans,0.0,3.0,0.0,,,
3,10,Shanna Moakler,0.0,3.0,0.0,,,
3,10,Tucker Carlson,0.0,3.0,0.0,,,
3,10,Vivica A. Fox,0.0,3.0,0.0,,,
3,10,Willa Ford,0.0,3.0,0.0,,,
3,11,Emmitt Smith,,,,,,
3,11,Harry Hamlin,,,,,,
3,11,Jerry Springer,,,,,,
3,11,Joey Lawrence,,,,,,
3,11,Mario Lopez,,,,,,
3,11,Monique Coleman,,,,,,
3,11,Sara Evans,,,,,,
3,11,Shanna Moakler,,,,,,
3,11,Tucker Carlson,,,,,,
3,11,Vivica A. Fox,,,,,,
3,11,Willa Ford,,,,,,
4,1,Apolo Anton Ohno,21.0,3.0,0.10194174757281553,,,
4,1,Billy Ray Cyrus,13.0,11.0,0.06310679611650485,,,
4,1,Clyde Drexler,16.0,9.0,0.07766990291262135,,,
4,1,Heather Mills,18.0,7.0,0.08737864077669903,,,
4,1,Ian Ziering,21.0,3.0,0.10194174757281553,,,
4,1,Joey Fatone,24.0,1.0,0.11650485436893204,,,
4,1,John Ratzenberger,17.0,8.0,0.0825242718446602,,,
4,1,Laila Ali,23.0,2.0,0.11165048543689321,,,
4,1,Leeza Gibbons,15.0,10.0,0.07281553398058252,,,
4,1,Paulina Porizkova,19.0,5.0,0.09223300970873786,,,
4,1,Shandi Finnessey,19.0,5.0,0.09223300970873786,,,
4,2,Apolo Anton Ohno,26.0,2.0,0.10612244897959183,,,
4,2,Billy Ray Cyrus,21.0,6.0,0.08571428571428572,,,
4,2,Clyde Drexler,18.0,11.0,0.07346938775510205,,,
4,2,Heather Mills,24.0,3.0,0.09795918367346938,,,
4,2,Ian Ziering,22.0,5.0,0.08979591836734693,,,
4,2,Joey Fatone,24.0,3.0,0.09795918367346938,,,
4,2,John Ratzenberger,21.0,6.0,0.08571428571428572,,,
4,2,Laila Ali,27.0,1.0,0.11020408163265306,,,
4,2,Leeza Gibbons,21.0,6.0,0.08571428571428572,,,
4,2,Paulina Porizkova,21.0,6.0,0.08571428571428572,,,
4,2,Shandi Finnessey,20.0,10.0,0.08163265306122448,,,
4,3,Apolo Anton Ohno,23.0,5.0,0.10550458715596331,,,
4,3,Billy Ray Cyrus,21.0,6.0,0.0963302752293578,,,
4,3,Clyde Drexler,16.0,10.0,0.07339449541284404,,,
4,3,Heather Mills,24.0,1.0,0.11009174311926606,,,
4,3,Ian Ziering,24.0,1.0,0.11009174311926606,,,
4,3,Joey Fatone,24.0,1.0,0.11009174311926606,,,
4,3,John Ratzenberger,20.0,9.0,0.09174311926605505,,,
4,3,Laila Ali,21.0,6.0,0.0963302752293578,,,
4,3,Leeza Gibbons,24.0,1.0,0.11009174311926606,,,
4,3,Paulina Porizkova,0.0,11.0,0.0,,,
4,3,Shandi Finnessey,21.0,6.0,0.0963302752293578,,,
4,4,Apolo Anton Ohno,26.0,2.0,0.1368421052631579,,,
4,4,Billy Ray Cyrus,21.0,5.0,0.11052631578947368,,,
4,4,Clyde Drexler,15.0,9.0,0.07894736842105263,,,
4,4,Heather Mills,23.0,4.0,0.12105263157894737,,,
4,4,Ian Ziering,24.0,3.0,0.12631578947368421,,,
4,4,Joey Fatone,28.0,1.0,0.14736842105263157,,,
4,4,John Ratzenberger,16.0,7.0,0.08421052631578947,,,
4,4,Laila Ali,21.0,5.0,0.11052631578947368,,,
4,4,Leeza Gibbons,16.0,7.0,0.08421052631578947,,,
4,4,Paulina Porizkova,0.0,10.0,0.0,,,
4,4,Shandi Finnessey,0.0,10.0,0.0,,,
4,5,Apolo Anton Ohno,30.0,1.0,0.17045454545454544,,,
4,5,Billy Ray Cyrus,17.0,7.0,0.09659090909090909,,,
4,5,Clyde Drexler,13.0,8.0,0.07386363636363637,,,
4,5,Heather Mills,21.0,5.0,0.11931818181818182,,,
4,5,Ian Ziering,24.0,4.0,0.13636363636363635,,,
4,5,Joey Fatone,25.0,3.0,0.14204545454545456,,,
4,5,John Ratzenberger,18.0,6.0,0.10227272727272728,,,
4,5,Laila Ali,28.0,2.0,0.1590909090909091,,,
4,5,Leeza Gibbons,0.0,9.0,0.0,,,
4,5,Paulina Porizkova,0.0,9.0,0.0,,,
4,5,Shandi Finnessey,0.0,9.0,0.0,,,
4,6,Apolo Anton Ohno,28.0,1.0,0.16470588235294117,,,
4,6,Billy Ray Cyrus,21.0,6.0,0.12352941176470589,,,
4,6,Clyde Drexler,0.0,8.0,0.0,,,
4,6,Heather Mills,23.0,5.0,0.13529411764705881,,,
4,6,Ian Ziering,24.0,4.0,0.1411764705882353,,,
4,6,Joey Fatone,27.0,3.0,0.1588235294117647,,,
4,6,John Ratzenberger,19.0,7.0,0.11176470588235295,,,
4,6,Laila Ali,28.0,1.0,0.16470588235294117,,,
4,6,Leeza Gibbons,0.0,8.0,0.0,,,
4,6,Paulina Porizkova,0.0,8.0,0.0,,,
4,6,Shandi Finnessey,0.0,8.0,0.0,,,
4,7,Apolo Anton Ohno,27.0,3.0,0.17475728155339806,,,
4,7,Billy Ray Cyrus,19.0,6.0,0.12297734627831715,,,
4,7,Clyde Drexler,0.0,7.0,0.0,,,
4,7,Heather Mills,0.0,7.0,0.0,,,
4,7,Ian Ziering,27.0,3.0,0.17475728155339806,,,
4,7,Joey Fatone,29.5,1.0,0.19093851132686085,,,
4,7,John Ratzenberger,22.5,5.0,0.14563106796116504,,,
4,7,Laila Ali,29.5,1.0,0.19093851132686085,,,
4,7,Leeza Gibbons,0.0,7.0,0.0,,,
4,7,Paulina Porizkova,0.0,7.0,0.0,,,
4,7,Shandi Finnessey,0.0,7.0,0.0,,,
4,8,Apolo Anton Ohno,29.0,1.0,0.23107569721115537,,,
4,8,Billy Ray Cyrus,19.0,5.0,0.15139442231075698,,,
4,8,Clyde Drexler,0.0,6.0,0.0,,,
4,8,Heather Mills,0.0,6.0,0.0,,,
4,8,Ian Ziering,23.5,4.0,0.18725099601593626,,,
4,8,Joey Fatone,27.5,2.0,0.21912350597609562,,,
4,8,John Ratzenberger,0.0,6.0,0.0,,,
4,8,Laila Ali,26.5,3.0,0.21115537848605578,,,
4,8,Leeza Gibbons,0.0,6.0,0.0,,,
4,8,Paulina Porizkova,0.0,6.0,0.0,,,
4,8,Shandi Finnessey,0.0,6.0,0.0,,,
4,9,Apolo Anton Ohno,29.5,3.0,0.2489451476793249,,,
4,9,Billy Ray Cyrus,0.0,5.0,0.0,,,
4,9,Clyde Drexler,0.0,5.0,0.0,,,
4,9,Heather Mills,0.0,5.0,0.0,,,
4,9,Ian Ziering,29.0,4.0,0.24472573839662448,,,
4,9,Joey Fatone,30.0,1.0,0.25316455696202533,,,
4,9,John Ratzenberger,0.0,5.0,0.0,,,
4,9,Laila Ali,30.0,1.0,0.25316455696202533,,,
4,9,Leeza Gibbons,0.0,5.0,0.0,,,
4,9,Paulina Porizkova,0.0,5.0,0.0,,,
4,9,Shandi Finnessey,0.0,5.0,0.0,,,
4,10,Apolo Anton Ohno,29.3332,1.0,0.3397685007685367,,,
4,10,Billy Ray Cyrus,0.0,4.0,0.0,,,
4,10,Clyde Drexler,0.0,4.0,0.0,,,
4,10,Heather Mills,0.0,4.0,0.0,,,
4,10,Ian Ziering,0.0,4.0,0.0,,,
4,10,Joey Fatone,28.6665,2.0,0.33204606818489824,,,
4,10,John Ratzenberger,0.0,4.0,0.0,,,
4,10,Laila Ali,28.3332,3.0,0.3281854310465651,,,
4,10,Leeza Gibbons,0.0,4.0,0.0,,,
4,10,Paulina Porizkova,0.0,4.0,0.0,,,
4,10,Shandi Finnessey,0.0,4.0,0.0,,,
4,11,Apolo Anton Ohno,,,,,,
4,11,Billy Ray Cyrus,,,,,,
4,11,Clyde Drexler,,,,,,
4,11,Heather Mills,,,,,,
4,11,Ian Ziering,,,,,,
4,11,Joey Fatone,,,,,,
4,11,John Ratzenberger,,,,,,
4,11,Laila Ali,,,,,,
4,11,Leeza Gibbons,,,,,,
4,11,Paulina Porizkova,,,,,,
4,11,Shandi Finnessey,,,,,,
5,1,Albert Reed,21.0,5.0,0.08171206225680934,,,
5,1,Cameron Mathison,21.0,5.0,0.08171206225680934,,,
5,1,Floyd Mayweather Jr. ,18.0,11.0,0.07003891050583658,,,
5,1,Helio Castroneves,25.0,2.0,0.09727626459143969,,,
5,1,Jane Seymour,24.0,3.0,0.0933852140077821,,,
5,1,Jennie Garth,21.0,5.0,0.08171206225680934,,,
5,1,Josie Maran,16.0,12.0,0.0622568093385214,,,
5,1,Marie Osmond,21.0,5.0,0.08171206225680934,,,
5,1,Mark Cuban,21.0,5.0,0.08171206225680934,,,
5,1,Mel B,24.0,3.0,0.0933852140077821,,,
5,1,Sabrina Bryan,26.0,1.0,0.10116731517509728,,,
5,1,Wayne Newton,19.0,10.0,0.07392996108949416,,,
5,2,Albert Reed,21.0,5.0,0.08823529411764706,,,
5,2,Cameron Mathison,21.0,5.0,0.08823529411764706,,,
5,2,Floyd Mayweather Jr. ,21.0,5.0,0.08823529411764706,,,
5,2,Helio Castroneves,27.0,1.0,0.1134453781512605,,,
5,2,Jane Seymour,21.0,5.0,0.08823529411764706,,,
5,2,Jennie Garth,21.0,5.0,0.08823529411764706,,,
5,2,Josie Maran,0.0,12.0,0.0,,,
5,2,Marie Osmond,24.0,3.0,0.10084033613445378,,,
5,2,Mark Cuban,18.0,10.0,0.07563025210084033,,,
5,2,Mel B,23.0,4.0,0.09663865546218488,,,
5,2,Sabrina Bryan,26.0,2.0,0.1092436974789916,,,
5,2,Wayne Newton,15.0,11.0,0.06302521008403361,,,
5,3,Albert Reed,0.0,11.0,0.0,,,
5,3,Cameron Mathison,23.0,7.0,0.09623430962343096,,,
5,3,Floyd Mayweather Jr. ,21.0,8.0,0.08786610878661087,,,
5,3,Helio Castroneves,24.0,6.0,0.100418410041841,,,
5,3,Jane Seymour,27.0,1.0,0.11297071129707113,,,
5,3,Jennie Garth,26.0,4.0,0.1087866108786611,,,
5,3,Josie Maran,0.0,11.0,0.0,,,
5,3,Marie Osmond,26.0,4.0,0.1087866108786611,,,
5,3,Mark Cuban,20.0,9.0,0.08368200836820083,,,
5,3,Mel B,27.0,1.0,0.11297071129707113,,,
5,3,Sabrina Bryan,27.0,1.0,0.11297071129707113,,,
5,3,Wayne Newton,18.0,10.0,0.07531380753138076,,,
5,4,Albert Reed,0.0,10.0,0.0,,,
5,4,Cameron Mathison,27.0,2.0,0.11538461538461539,,,
5,4,Floyd Mayweather Jr. ,23.0,8.0,0.09829059829059829,,,
5,4,Helio Castroneves,27.0,2.0,0.11538461538461539,,,
5,4,Jane Seymour,26.0,5.0,0.1111111111111111,,,
5,4,Jennie Garth,27.0,2.0,0.11538461538461539,,,
5,4,Josie Maran,0.0,10.0,0.0,,,
5,4,Marie Osmond,26.0,5.0,0.1111111111111111,,,
5,4,Mark Cuban,22.0,9.0,0.09401709401709402,,,
5,4,Mel B,26.0,5.0,0.1111111111111111,,,
5,4,Sabrina Bryan,30.0,1.0,0.1282051282051282,,,
5,4,Wayne Newton,0.0,10.0,0.0,,,
5,5,Albert Reed,0.0,9.0,0.0,,,
5,5,Cameron Mathison,26.0,3.0,0.1306532663316583,,,
5,5,Floyd Mayweather Jr. ,0.0,9.0,0.0,,,
5,5,Helio Castroneves,23.0,6.0,0.11557788944723618,,,
5,5,Jane Seymour,26.0,3.0,0.1306532663316583,,,
5,5,Jennie Garth,25.0,5.0,0.12562814070351758,,,
5,5,Josie Maran,0.0,9.0,0.0,,,
5,5,Marie Osmond,21.0,7.0,0.10552763819095477,,,
5,5,Mark Cuban,21.0,7.0,0.10552763819095477,,,
5,5,Mel B,29.0,1.0,0.1457286432160804,,,
5,5,Sabrina Bryan,28.0,2.0,0.1407035175879397,,,
5,5,Wayne Newton,0.0,9.0,0.0,,,
5,6,Albert Reed,0.0,8.0,0.0,,,
5,6,Cameron Mathison,25.0,4.0,0.1388888888888889,,,
5,6,Floyd Mayweather Jr. ,0.0,8.0,0.0,,,
5,6,Helio Castroneves,28.0,2.0,0.15555555555555556,,,
5,6,Jane Seymour,22.0,7.0,0.12222222222222222,,,
