celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_withdrew,is_controversial,contestants,weeks,judges,voting_method,is_allstar,active_weeks,week1_total,week1_avg,week2_total,week2_avg,week3_total,week3_avg,week4_total,week4_avg,week5_total,week5_avg,week6_total,week6_avg,week7_total,week7_avg,week8_total,week8_avg,week9_total,week9_avg,week10_total,week10_avg,week11_total,week11_avg,overall_avg_score,elimination_week,is_finalist,final_rank,total_pageviews,avg_daily_pageviews,ind_Actor/Actress,ind_Athlete,ind_Comedian,ind_Con artist,ind_Conservationist,ind_Entrepreneur,ind_Fitness Instructor,ind_Journalist,ind_Military,ind_Model,ind_Musician,ind_News Anchor,ind_Politician,ind_Producer,ind_Racing Driver,ind_Radio Personality,ind_Singer/Rapper,ind_Social Media Personality,ind_Social media personality,ind_TV Personality,log_pageviews
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,7.0,6.0,7.0,,7.0,6.0,6.0,,8.0,7.0,7.0,,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,,8.5,8.5,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,7,20.0,6.666666666666667,19.0,6.333333333333333,22.0,7.333333333333333,32.0,8.0,28.0,7.0,24.0,8.0,26.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.434782608695652,7.0,False,,336597.0,5178.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.726644618950543
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,Eliminated Week 8,6,7.0,6.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,,8.0,8.5,9.0,,10.0,10.0,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,8,20.0,6.666666666666667,21.0,7.0,23.0,7.666666666666667,27.0,6.75,35.0,8.75,25.0,8.333333333333334,25.5,8.5,30.0,10.0,0.0,0.0,0.0,0.0,0.0,,7.9423076923076925,8.0,False,,699364.0,10759.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.457928059465315
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,Eliminated Week 6,9,5.0,5.0,5.0,,7.0,6.0,7.0,,7.0,6.0,7.0,,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,6,15.0,5.0,20.0,6.666666666666667,20.0,6.666666666666667,24.0,6.0,28.0,7.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.4,6.0,False,,506982.0,7799.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.136232751439167
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,Eliminated Week 7,7,8.0,6.0,7.0,,7.0,6.0,7.0,,7.0,6.0,7.0,,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,,8.5,8.5,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,7,21.0,7.0,20.0,6.666666666666667,20.0,6.666666666666667,32.0,8.0,29.0,7.25,24.0,8.0,26.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.478260869565218,7.0,False,,270713.0,4164.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.508818192033823
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,Eliminated Week 9,5,8.0,6.0,7.0,,6.0,6.0,7.0,,7.0,6.0,7.0,,9.0,8.0,9.0,9.0,7.0,6.0,6.0,7.0,9.0,9.0,9.0,,8.5,8.5,9.0,,9.0,9.0,9.0,,9.0,9.0,9.5,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,9,21.0,7.0,19.0,6.333333333333333,20.0,6.666666666666667,35.0,8.75,26.0,6.5,27.0,9.0,26.0,8.666666666666666,27.0,9.0,27.5,9.166666666666666,0.0,0.0,0.0,,7.879310344827586,9.0,False,,309288.0,4758.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.642031393863567
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2nd Place,2,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,9.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0,,9.0,9.0,9.5,,10.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.6666,10.0,,,,,,False,False,12,10,4,percentage,False,10,21.0,7.0,24.0,8.0,23.0,7.666666666666667,36.0,9.0,31.0,7.75,28.0,9.333333333333334,27.5,9.166666666666666,28.0,9.333333333333334,29.5,9.833333333333334,29.666600000000003,9.888866666666669,0.0,,8.67708125,,True,2.0,546025.0,8400.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.21042187264091
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,Eliminated Week 2,12,5.0,4.0,4.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,2,13.0,4.333333333333333,13.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.333333333333333,2.0,False,,278653.0,4287.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12.537726147820186
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1st Place,1,8.0,7.0,8.0,,7.0,6.0,7.0,,8.0,8.0,9.0,,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,,9.5,9.0,9.5,,10.0,9.0,10.0,,9.5,9.5,9.5,,9.6666,9.6666,9.6666,,,,,,False,False,12,10,4,percentage,False,10,23.0,7.666666666666667,20.0,6.666666666666667,25.0,8.333333333333334,34.0,8.5,37.0,9.25,25.0,8.333333333333334,28.0,9.333333333333334,29.0,9.666666666666666,28.5,9.5,28.9998,9.6666,0.0,,8.70311875,,True,1.0,705127.0,10848.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13.46613462559802
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3rd Place,3,8.0,7.0,8.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,9.0,9.0,9.5,,10.0,10.0,10.0,,9.0,9.5,9.5,,9.3333,9.6666,9.3333,,,,,,False,False,12,10,4,percentage,False,10,23.0,7.666666666666667,21.0,7.0,21.0,7.0,36.0,9.0,32.0,8.0,24.0,8.0,27.5,9.166666666666666,30.0,10.0,28.0,9.333333333333334,28.3332,9.4444,0.0,,8.463537500000001,,True,3.0,405654.0,6240.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12.913258323643957
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,Eliminated Week 9,4,8.0,7.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,9.0,9.0,9.0,8.0,7.0,7.0,8.0,10.0,9.0,10.0,,9.0,9.0,9.5,,8.0,8.0,9.0,,10.0,10.0,10.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,9,23.0,7.666666666666667,24.0,8.0,24.0,8.0,35.0,8.75,30.0,7.5,29.0,9.666666666666666,27.5,9.166666666666666,25.0,8.333333333333334,30.0,10.0,0.0,0.0,0.0,,8.53448275862069,9.0,False,,218935.0,3368.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.296534728646034
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,Eliminated Week 4,10,7.0,7.0,7.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,False,False,12,10,4,percentage,False,4,21.0,7.0,20.0,6.666666666666667,21.0,7.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.923076923076923,4.0,False,,1214021.0,18677.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,14.009449372348419
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,Eliminated Week 2,13,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,2,22.0,5.5,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,2.0,False,,317878.0,4415.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.66942608620797
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,6.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,7.0,8.0,8.0,8.5,8.0,8.0,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,7,22.0,5.5,26.0,6.5,28.0,7.0,24.0,8.0,24.0,8.0,31.0,7.75,33.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.230769230769231,7.0,False,,807785.0,11219.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.602052450938736
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,Eliminated Week 9,6,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,8.0,7.5,8.0,8.5,8.0,7.0,8.0,8.0,,9.0,9.0,9.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,9,27.0,6.75,27.0,6.75,28.0,7.0,21.0,7.0,27.0,9.0,34.0,8.5,32.0,8.0,23.0,7.666666666666667,36.0,9.0,0.0,0.0,0.0,0.0,7.727272727272727,9.0,False,,593346.0,8240.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.293534667042751
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,Eliminated Week 8,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,7.0,8.5,8.0,8.0,8.5,8.0,9.0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,8,24.0,6.0,24.0,6.0,25.0,6.25,22.0,7.333333333333333,24.0,8.0,30.0,7.5,33.0,8.25,26.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.172413793103448,8.0,False,,345611.0,4800.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.753072037531457
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3rd Place,3,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,10.0,9.0,9.0,9.5,9.0,9.0,9.5,10.0,10.0,10.0,,9.0,9.0,10.0,9.0,9.0,9.5,9.5,,9.3333,9.6666,9.6666,9.6666,False,False,13,11,4,percentage,False,11,26.0,6.5,28.0,7.0,32.0,8.0,23.0,7.666666666666667,24.0,8.0,37.0,9.25,37.0,9.25,30.0,10.0,37.0,9.25,28.0,9.333333333333334,38.3331,9.583275,8.5083275,,True,3.0,485393.0,6741.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.092716211258809
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1st Place,1,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,,8.0,9.0,8.0,,9.0,9.0,9.0,10.0,8.0,8.5,9.0,9.0,11.0,11.0,11.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,9.6666,10.0,9.6666,10.0,False,False,13,11,4,percentage,False,11,31.0,7.75,32.0,8.0,31.0,7.75,30.0,10.0,25.0,8.333333333333334,37.0,9.25,34.5,8.625,33.0,11.0,40.0,10.0,30.0,10.0,39.333200000000005,9.8333,9.07083,,True,1.0,297233.0,4128.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.602274986359154
